unit_id	context	ru_source	target
370018	hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, steh auf. Wir sind schon da.
370019	hub1_first_1_2	Хорошо… Давно мы приехали?	Gut… Sind wir schon lange hier?
370020	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Nicht lange. Du hast die ganze Fahrt verschlafen.
370021	hub1_first_1_4	Проспал очередные виды на ебеня?	Hab ich wieder die Aussicht auf die Scheißgegend verpennt?
370022	hub1_first_1_5	Даже не знаю, как я это переживу.	Ich weiß nicht mal, wie ich das überleben soll.
370023	hub1_first_1_6	Добро пожаловать в Столицу.	Willkommen in der Hauptstadt.
370024	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Nun, oder in ihrem „besten“ Teil – der Fisch-Sackgasse.
370025	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Erst kürzlich erbaut, noch unter dem dritten Kaiser Akito.
370026	hub1_first_1_9	Он опять завёл эту шарманку.	Er hat schon wieder diese Leier angefangen.
370027	hub1_first_1_10	Я чёт подустал от этих уроков истории.	Ich bin irgendwie müde von diesen Geschichtsstunden.
370028	hub1_first_1_11	Все пауки такие?	Sind alle Spinnen so?
370029	hub1_first_1_12	Хранители знаний, да	Hüter des Wissens, ja
370030	hub1_first_1_13	Скукота.	Langweilig.
370031	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Sehr interessant. Und danke, dass Sie uns mitgenommen haben.
370032	hub1_first_1_15	Без проблем.	Kein Problem.
370033	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	Ich konnte nicht an euch vorbeigehen, zumal ihr mich an meine Neffen erinnert.
370034	hub1_first_1_17	Только… с чешуей и шерстью.	Nur … mit Schuppen und Fell.
370035	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	Schaut mal bei mir in den „Tausend Kleinigkeiten“ vorbei!
370036	hub1_first_1_19	Хорошо, спасибо!	Gut, danke!
370037	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	Ich habe hier meine eigenen Angelegenheiten. Wir sehen uns später
370038	hub1_first_1_21	А как мне тебя найти?	Und wie finde ich dich?
370039	hub1_first_1_22	Я тебя сам найду.	Ich werde dich selbst finden.
370040	hub1_first_1_23	У меня от него чешуя дыбом стоит.	Mir stellen sich die Schuppen auf, wenn ich ihn sehe.
370041	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	Im Ernst, Hazuo ist sein Bruder, aber in seiner Nähe verspüre ich keine solche Angst.
370042	hub1_first_1_25	А я думал, вы лучшие подружки.	Ich dachte, ihr wärt beste Freundinnen.
370043	hub1_first_1_26	Ха-ха. Что будем дальше делать?	Ha-ha. Was machen wir als Nächstes?
370044	hub1_first_1_27	Кажется, я не ел целую вечность.	Ich glaube, ich habe eine Ewigkeit nichts gegessen.
370045	hub1_first_1_28	Может, набьём животы?	Sollen wir uns die Bäuche vollschlagen?
370046	hub1_first_1_29	Можно.	Können wir.
370047	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	Wow! Wie… ich weiß nicht… SCHÖN!
370048	hub1_overlook_1_2	Тут? Это же просто трущобы.	Hier? Das ist doch nur ein Elendsviertel.
370049	hub1_overlook_1_3	Я никогда не видел такого большого города!	Ich habe noch nie so eine große Stadt gesehen!
370050	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	Ich glaube, die Hauptstadt selbst wird dich umhauen!
370051	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	Und hier gibt es gerade Ramen. Komm schon!
370052	hub1_ramen_1_1	Это что за фигня?!	Was zum Teufel ist das?!
370053	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	Das ist Ramen. Hast du so etwas noch nie probiert?
370054	hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	Nein. In unserem Dorf wurde so etwas nicht gekocht.
370055	hub1_ramen_1_4	А потом я ел только… с пола…	Und danach habe ich nur noch… vom Boden gegessen…
370056	hub1_ramen_1_5	Ясно.	Verstehe.
370057	hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	Probier es schnell. Es wird dir schmecken.
370058	hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	VERDAMMT. IST. DAS. LECKER.
370059	hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	Ich sage immer: Iss Ramen – DANN BIST DU HART WIE EIN STEIN!
370060	hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	HALT DIE KLAPPE, ALTER! Belästige sie nicht!
370061	hub1_ramen_1_11	Да я ничего не делал!	Ich hab doch gar nichts gemacht!
370062	hub1_ramen_1_12	Вот и не делай!	Dann mach auch nichts!
370063	hub1_ramen_1_13	Нам нужно где-то остановиться.	Wir müssen irgendwo unterkommen.
370064	hub1_ramen_1_14	Мне все равно!	Ist mir scheißegal!
370065	hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	Ich will nur wissen, an wen meine Schwester verkauft wurde!
370066	hub1_ramen_1_16	И как ты это сделаешь?	Und wie willst du das anstellen?
370067	hub1_ramen_1_17	Без понятия.	Keine Ahnung.
370068	hub1_ramen_1_18	Нам нужна комната на несколько дней.	Wir brauchen ein Zimmer für ein paar Tage.
370069	hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	Ausgezeichnet! Und ich brauche Gäste!
370070	hub1_ramen_1_20	Ты подслушивал?	Hast du gelauscht?
370071	hub1_ramen_1_21	Так я всегда подслушиваю.	Das tue ich immer.
370072	hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	Ihr könnt im Hinterzimmer des Ramen-Ladens schlafen.
370073	hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	Aber seid gewarnt! Alle Shiitake sind gezählt.
370074	hub1_ramen_1_24	… что за нахрен шиитаке…	…was zum Teufel sind Shiitake…
370075	hub1_ramen_1_25	Мы бы с радостью у вас остановились.	Wir würden sehr gerne bei Ihnen bleiben.
370076	hub1_ramen_1_26	Но у нас совсем немного денег.	Aber wir haben nur sehr wenig Geld.
370077	hub1_ramen_1_27	А мне и не нужны деньги.	Ich brauche kein Geld.
370078	hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	Ich werde neue Ramen-Rezepte an euch ausprobieren! Einverstanden?
370079	hub1_ramen_1_29	По рукам!	Einverstanden!
370080	hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	Wir bräuchten noch einen Führer für die Stadt…
370081	hub1_ramen_1_31	Мы тут совсем не ориентируемся…	Wir finden uns hier überhaupt nicht zurecht…
370082	hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	Niemand von uns wagt sich von hier in die Hauptstadt…
370083	hub1_ramen_1_33	Хотя, загляните в чайный домик.	Schaut doch mal im Teehaus vorbei.
370084	hub1_ramen_1_34	Девочки госпожи Яэко частенько в городе бывают.	Die Mädchen von Lady Yaeko sind oft in der Stadt unterwegs.
370085	hub1_ramen_1_35	Как их найти?	Wie finden wir sie?
370086	hub1_ramen_1_36	Вот тут у нас главное место Рыбного тупика - моя раменная!	Hier ist der wichtigste Ort in der Fisch-Sackgasse – mein Ramen-Laden!
370087	hub1_ramen_1_37	Но это вы и так знаете.	Aber das wisst ihr ja schon.
370088	hub1_ramen_1_38	Пойдете вот сюда - окажетесь на пристани.	Gehst du hier lang, kommst du zur Anlegestelle.
370089	hub1_ramen_1_39	Вот на этот корабль лучше не соваться.	Diesem Schiff solltest du besser fernbleiben.
370090	hub1_ramen_1_40	Если конечно не хотите встретиться с морскими волками.	Es sei denn, du willst den Seewölfen begegnen.
370091	hub1_ramen_1_41	Свернете сюда и окажетесь в банях, шикарное место для отдыха.	Biegst du hier ab, kommst du zu den Bädern, ein schicker Ort zum Entspannen.
370092	hub1_ramen_1_42	Тут будет лавка травника,	Hier ist der Kräuterladen,
370093	hub1_ramen_1_43	а тут барахолка.	und hier der Trödelladen.
370094	hub1_ramen_1_44	А прямо над нами находится чайный домик.	Und direkt über uns ist das Teehaus.
370095	hub1_ramen_1_45	Если запутаетесь, изучите нашу карту.	Wenn du dich verirrst, schau auf unsere Karte.
370096	hub1_ramen_1_46	Ясно, погнали.	Klar, los geht's.
370097	hub1_fisherman_quest_1_1	Вот что еще вспомнил…	Mir fällt da noch was ein …
370098	hub1_fisherman_quest_1_2	Может сделаете для меня кое-чего, молодежь?	Könntet ihr mir einen Gefallen tun, junge Leute?
370099	hub1_fisherman_quest_1_3	А то мне самому лень.	Ich bin zu faul dazu.
370100	hub1_fisherman_quest_1_4	Вам по пути!	Es ist auf eurem Weg!
370101	hub1_fisherman_quest_1_5	Ладно, что нужно?	Na gut, was braucht ihr?
370102	hub1_fisherman_quest_1_6	Заберите у рыбака на пристани нефритового угря…	Holt den Jadeaal vom Fischer am Kai…
370103	hub1_fisherman_quest_1_7	Приготовлю божественный рамен!	Ich koche göttlichen Ramen!
370104	hub1_fisherman_quest_1_8	Всего-то? Да без проблем.	Das ist alles? Kein Problem.
370105	hub1_fisherman_quest_1_9	Сейчас вообще не до того, извини.	Gerade keine Zeit dafür, tut mir leid.
370106	hub1_fisherman_quest_1_10	Эх, ладно. Выгуляю свои старые кости.	Ach, na gut. Dann muss ich meine alten Knochen wohl selbst ausführen.
