pos	context	speaker	ru	en	fr	ru_checks	en_checks	fr_checks	en_lost_final_punct	fr_lost_final_punct	en_hidden_checks	fr_hidden_checks	duplicate_divergence
1	hub1_first_1_1	Ray	 Леон, вставай. Мы уже приехали.	 Leon, wake up. We're here.	 Leon, lève-toi. Nous sommes arrivés.								
2	hub1_first_1_2	Leon	 Хорошо… Давно мы приехали?	 Alright... Have we been here long?	 Bien… Nous sommes arrivés il y a longtemps ?								
3	hub1_first_1_3	Ray	 Недавно. Ты проспал всю дорогу.	 Not long. You slept the whole way.	 Non. Tu as dormi tout le long du trajet.								
4	hub1_first_1_4	Leon	 Проспал очередные виды на ебеня? 	 Slept through another set of shitty views? 	 J'ai raté d'autres paysages de merde ? 								
5	hub1_first_1_5	Leon	Даже не знаю, как я это переживу.	Don't know how I'm gonna survive that.	Je ne sais même pas comment je vais m'en remettre.								
6	hub1_first_1_6	Hazuo	Добро пожаловать в Столицу. 	Welcome to the capital. 	Bienvenue dans la Capitale 					yes		end_stop	
7	hub1_first_1_7	Hazuo	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Well, or its “best” part — Fish Alley.	Enfin, dans sa « meilleure » partie — le Cul-de-sac des Poissons.								
8	hub1_first_1_8	Hazuo	Построили недавно, ещё при третьем императоре Акито.\n	Built recently, back under the third Emperor Akito.\n	Construit récemment, sous le troisième empereur Akira.\n								
9	hub1_first_1_9	Leon	Он опять завёл эту шарманку.	He's started that broken record again.	Il a encore ressorti son vieux disque.								
10	hub1_first_1_10	Leon	Я чёт подустал от этих уроков истории.	I'm kinda tired of these history lessons.	J'en ai un peu marre de ces leçons d'histoire.								
11	hub1_first_1_11	Leon	Все пауки такие?	All you Spiders like that?	Tous les araignées sont comme ça ?								
12	hub1_first_1_12	Joe	Хранители знаний, да	Keepers of knowledge, yes	Gardiens du savoir, oui								
13	hub1_first_1_13	Leon	Скукота. 	Boring 	Ennuyeux 				yes	yes	end_stop	end_stop	
14	hub1_first_1_14	Ray	Очень интересно. И спасибо, что подкинули нас.	Very interesting. And thank you for the ride.	Très intéressant. Et merci de nous avoir déposés.								
15	hub1_first_1_15	Hazuo	 Без проблем. 	 No problem 	 Pas de problème 				yes	yes	end_stop	end_stop	
16	hub1_first_1_16	Hazuo	Не мог пройти мимо вас, тем более напоминаете мне племянников. 	Couldn't just pass you by, especially since you remind me of my nephews 	Je ne pouvais pas vous laisser, d’autant plus que vous me rappelez mes neveux 				yes	yes	end_stop	end_stop	
17	hub1_first_1_17	Hazuo	Только… с чешуей и шерстью.\n	Only… with scales and fur.\n	Seulement… avec des écailles et de la fourrure.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
18	hub1_first_1_18	Hazuo	Заглядывайте ко мне в «Тысячу мелочей»!	"Stop by my ""Thousand Trinkets"" sometime!"	Passez me voir à la « Mille et une babioles » !								
19	hub1_first_1_19	Ray	 Хорошо, спасибо!	 Alright, thank you!	 D’accord, merci !								
20	hub1_first_1_20	Joe	 У меня здесь есть свои дела. Встретимся позже	 I have my own business here. See you later	 J’ai mes propres affaires ici. On se voit plus tard								
21	hub1_first_1_21	Leon	 А как мне тебя найти?	 How am I gonna find you?	 Et comment je te trouve, moi ?								
22	hub1_first_1_22	Joe	 Я тебя сам найду.	 I'll find you myself.	 Je te trouverai moi-même.								
23	hub1_first_1_23	Ray	 У меня от него чешуя дыбом стоит. 	 He makes my scales crawl. 	 Il me donne la chair de poule. 								
24	hub1_first_1_24	Ray	 Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха. \n	 Seriously, Hazuo's his kin, but I don't feel that kinda fear around him. \n	 Sérieusement, Hazuo est son frère, mais à côté de lui, je ne ressens pas une telle peur. \n								
25	hub1_first_1_25	Leon	 А я думал, вы лучшие подружки.\n	 I thought you two were besties.\n	 Et moi qui pensais que vous étiez les meilleures amies du monde.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
26	hub1_first_1_26	Ray	 Ха-ха. Что будем дальше делать?\n	 Haha. What're we gonna do next?\n	 Ha-ha. Qu'est-ce qu'on fait maintenant ?\n								
27	hub1_first_1_27	Leon	 Кажется, я не ел целую вечность.	 I ain't eaten in ages.	 J'ai l'impression de n'avoir pas mangé depuis une éternité.								
28	hub1_first_1_28	Leon	Может, набьём животы?	How 'bout we fill our bellies?	Et si on se remplissait la panse ?								
29	hub1_first_1_29	Ray	 Можно.	 We can.	 On peut.								
30	hub1_overlook_1_1	Leon	Ого! Как же тут…я не знаю…КРАСИВО!  \n	Whoa! This place is so… I don't know… BEAUTIFUL!  \n	Oh ! Comme c'est… je ne sais pas… BEAU !  \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
31	hub1_overlook_1_2	Ray	Тут? Это же просто трущобы.	Here? This is just a slum.	Ici ? Ce ne sont que des taudis.								
32	hub1_overlook_1_3	Leon	Я никогда не видел такого большого города! 	I've never seen such a big city 	Je n'ai jamais vu une ville aussi grande 				yes	yes	end_exclamation	end_exclamation	
33	hub1_overlook_1_4	Ray	Думаю, сама Столица тебя поразит! 	I think the capital itself will amaze you 	Je pense que la Capitale elle-même te surprendra 				yes	yes	end_exclamation	end_exclamation	
34	hub1_overlook_1_5	Ray	А тут как раз рамен подают. Пойдем! 	And they serve ramen right here. Let's go 	Et ici, ils servent du ramen. Allons-y 				yes	yes	end_exclamation	end_exclamation	
35	hub1_ramen_1_1	Leon	Это что за фигня?!\n\n	What the fuck is this?!\n\n	C'est quoi ce bordel ?!\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
36	hub1_ramen_1_2	Ray	Это рамен. Никогда такого не пробовал что ли?\n	It's ramen. You never tried it before?\n	C'est du ramen. Tu n'en as jamais goûté, c'est ça ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
37	hub1_ramen_1_3	Leon	Нет. У нас в деревне такого не готовили.\n	Nah. They didn't make this in my village.\n	Non. Dans notre village, on ne préparait pas ça.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
38	hub1_ramen_1_4	Leon	А потом я ел только….с пола….	And after that, I only ate... off the floor....	Et après, je n'ai mangé que… par terre….								
39	hub1_ramen_1_5	Ray	Ясно. 	I see 	Je vois 				yes	yes	end_stop	end_stop	
