unit_id	context	ru_source	target
370810	hub1_first_1_1	Леон, вставай. Мы уже приехали.	レオン、起きて。もう着いたよ。
370811	hub1_first_1_2	Хорошо… Давно мы приехали?	わかった… いつ着いたんだ？
370812	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	さっきだよ。君は道中ずっと寝てた。
370813	hub1_first_1_4	Проспал очередные виды на ебеня?	またクソみたいな景色を見逃したのかよ？
370814	hub1_first_1_5	Даже не знаю, как я это переживу.	どうやって生き延びようか。
370815	hub1_first_1_6	Добро пожаловать в Столицу.	首都へようこそ。
370816	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	まあ、その『最高の』部分、魚の袋小路へ、ってところかな。
370817	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	最近できたんだ、まだ三代目皇帝アキトの時代にね。
370818	hub1_first_1_9	Он опять завёл эту шарманку.	またあの歴史講座を始めやがった。
370819	hub1_first_1_10	Я чёт подустал от этих уроков истории.	この歴史の授業にはちょっと飽きてきたぜ。
370820	hub1_first_1_11	Все пауки такие?	蜘蛛ってみんなこんな感じかよ？
370821	hub1_first_1_12	Хранители знаний, да	知識の守護者、そうですね
370822	hub1_first_1_13	Скукота.	つまんねえな。
370823	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	とても興味深いです。それに、私たちを助けてくれてありがとうございます。
370824	hub1_first_1_15	Без проблем.	問題ないよ。
370825	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	見逃すわけにはいかなかった、特に君たちが甥っ子たちを思い出させるからね。
370826	hub1_first_1_17	Только… с чешуей и шерстью.	ただ…鱗と毛皮付きで。
370827	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	私の「千の雑貨」にも遊びに来てください！
370828	hub1_first_1_19	Хорошо, спасибо!	はい、ありがとうございます！
370829	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	ここで用事がある。後で会おう
370830	hub1_first_1_21	А как мне тебя найти?	どうやったらお前を見つけられるんだ？
370831	hub1_first_1_22	Я тебя сам найду.	俺が自分で見つけてやる。
370832	hub1_first_1_23	У меня от него чешуя дыбом стоит.	あいつのせいで鱗が逆立つぜ。
370833	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	本当に、ハズオはあいつの同族だけど、あの横にいるとこんな恐怖は感じない。
370834	hub1_first_1_25	А я думал, вы лучшие подружки.	てっきり親友同士かと思ってたぜ。
370835	hub1_first_1_26	Ха-ха. Что будем дальше делать?	はは。次はどうする？
370836	hub1_first_1_27	Кажется, я не ел целую вечность.	永遠ぶりに飯を食ってない気がする。
370837	hub1_first_1_28	Может, набьём животы?	腹ごしらえしねえか？
370838	hub1_first_1_29	Можно.	いいよ。
370839	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	うわっ！ここは…なんつーか…キレイだぜ！
370840	hub1_overlook_1_2	Тут? Это же просто трущобы.	ここ？ただのスラム街じゃないか。
370841	hub1_overlook_1_3	Я никогда не видел такого большого города!	こんな大きな街、初めて見たぜ！
370842	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	首都そのものは君を驚かせると思うよ！
