id,Character,ru,en
intro_temple_1_1,Joe,Не расслабляйтесь.,Don't slack off.
intro_temple_1_2,Joe,Нужно подняться наверх.,We have to climb to the top.
intro_temple_1_3,Leon,Да что ты говоришь!,Are you kidding me?
intro_temple_1_4,Leon,"А я-то думал, сейчас увижу цветочки и прилягу на часок.",And here I was thinking I'd get to see some flowers and take a little nap.
intro_temple_1_5,Joe,Встретимся на вершине.,See you at the top.
intro_temple_1_6,Ray,Надо научиться так же.,"I need to learn how to do that, too."
intro_temple_1_7,Leon,Сваливать в ответственный момент?,Bail out at the crucial moment?
intro_temple_1_8,Leon,Полезный навык.,That’s a useful skill.
intro_temple_1_9,Leon,Ну и? Я-то поднимусь.,So what? I’ll make it to the top.
intro_temple_1_10,Leon,А ты доползешь?,Will you be able to crawl all the way up?
intro_temple_1_11,Ray,Ну… ты можешь нести меня на спине.,Well… you could carry me on your back.
intro_temple_1_12,Ray,Чего?,What?
intro_temple_1_13,Ray,Так быстрее… и…,It’d be faster… and…
intro_temple_1_14,Ray,"Ну… ладно, забей.","well… fine, forget it."
intro_temple_1_15,Leon,Вот и он свалил.,"And just like that, he bailed."
intro_temple_1_16,Leon,Было бы здорово научится так делать...,It would be great to learn how to do that...
intro_temple_3_1,,Че это за фигня?,What's this nonsense?
intro_temple_3_2,,"Пожалуйста, не сдавайте меня....",Please don't turn me in....
intro_temple_3_3,,Я туда не вернусь.,I'm not going back there.
intro_temple_4_1,,Давно я не видел гор....,It's been a long time since I've seen the mountains....
intro_temple_4_2,,Напоминает родную деревню.,It reminds me of my hometown.
intro_temple_4_3,,...,
intro_temple_4_4,,Наконец-то я на свободе.,I'm finally free.
intro_temple_2_1,Ray,Я так давно не видел солнца.,I haven't seen the sun in such a long time.
intro_temple_2_2,Leon,Слишком ярко.,Too bright.
intro_temple_2_3,Ray,"Если постоишь здесь еще немного, ты привыкнешь.","If you stay here a little longer, you'll get used to it."
intro_temple_2_4,Leon,Ага…я ведь хочу ослепнуть нахрен.,Yeah… like I want to go blind or something.
intro_temple_2_5,Joe,Ваш первый глоток свободы.,Your first breath of freedom.
intro_temple_2_6,Joe,Завораживает.,It's mesmerizing.
intro_temple_2_7,Joe,Но нам еще предстоит путь.,But we still have a long way to go.
intro_temple_2_8,Leon,Какая же ты заеба.,You're such a pain in the ass.
intro_temple_2_9,Joe,Пройдем через разрушенный горный храм.,Let's walk through the ruined mountain temple.
intro_temple_2_10,Raven,Кар!,Сaw-caw!
intro_temple_2_11,Raven,Кар-кар-кар!,Сaw-caw!!
intro_temple_2_12,Ray,Это… это ворон? Я так давно их не видел.,Is that… a raven? I haven't seen one in so long
intro_temple_2_13,Ray,Самые умные птицы.,The smartest birds.
intro_temple_2_14,Leon,Этот пернатый обрубок с интеллектом камня?,Is this feathered stump as smart as a rock?
intro_temple_2_15,Leon,Тебя легко удивить.,It's easy to surprise you.
temple_sign_1,,Смерть - это только начало,Death is just the beginning
intro_temple_5_1,,А вот и храм...,Here's the temple...
intro_temple_5_2,Ray,Почему заброшен?,Why is it abandoned?
intro_temple_5_3,Leon,Внутри узнаешь. Пошли уже.,You'll find out once we're inside. Let's go already.
intro_temple_5_4,Ray,"Может, есть другой путь?",Maybe there's another way?
intro_temple_5_5,Leon,Да. В шахты.,Yes. Into the mines.
intro_temple_5_6,Leon,Хочешь — дорога открыта.,"If you want to, the road is open."
intro_temple_6_1,Leon,И что это вообще за место?,"And what kind of place is this, anyway?"
intro_temple_6_2,Joe,Когда-то это был храм Возвышения.,
intro_temple_6_3,Joe,"Символ силы, знаний...","A symbol of strength, knowledge..."
intro_temple_6_4,Joe,"...и, как это обычно бывает, гордыни. Прекрасная история падения. Хочешь, расскажу?","...and, as is usually the case, pride. A wonderful tale of a fall from grace. Would you like me to tell it to you?"
intro_temple_6_5,Leon,Нет. Эта хрень мне ни к чему.,No. I don't need that crap.
intro_temple_6_6,Ray,А я бы послушал.,I'd be interested in hearing that.
intro_temple_6_7,Leon,Да пожалуйста.,"Sure, go ahead."
intro_temple_6_8,Leon,А я пошёл наверх.,And I went upstairs.
intro_temple_6_9,Leon,Если вы там в процессе влюбитесь...,If you happen to fall in love while you're there...
intro_temple_6_10,Leon,....позовите меня на свадьбу.,....invite me to the wedding.
intro_temple_7_1,Leon,"Это чё, святилище звона в жопу?","What is this, some kind of “bell-ringing up the ass” shrine?"
intro_temple_8_1,Leon,Это что ещё за [shake][color=red]ЕБ ТВОЮ МАТЬ?![/color][/shake],"What the FUCK is this, for God's sake?!"
intro_temple_8_2,Ray,Что с тобой?,What's wrong with you?
intro_temple_8_3,Leon,Я только что провалился....,I just failed...
intro_temple_8_4,Leon,В другое время?,Some other time?
intro_temple_8_5,Ray,О чем ты?,What are you talking about?
intro_temple_8_6,Leon,"Тот же зал, колокольчики, но здесь были люди.","The same hall, the same bells, but there were people here."
intro_temple_8_7,Ray,"Я не уверен, что это возможно.",I'm not sure if that's possible.
intro_temple_8_8,Joe,"Я предупреждал, что это необычное место.",I warned you that this was an unusual place.
intro_temple_8_9,Joe,Здесь произошла трагедия.,A tragedy occurred here.
intro_temple_8_10,Joe,"Настолько сильная, что время тут сломано.",So powerful that time itself is broken here.
intro_temple_8_11,Leon,"Твою мать…[shake][color=red]СПАСИБО, ЧТО ПРЕДУПРЕДИЛ[/color][/shake]",Damn… THANKS FOR THE WARNING
intro_temple_9_1,Joe,Этот храм Бога Смерти.,This is the temple of the God of Death.
intro_temple_9_2,Joe,Но когда-то он был просто мальчишкой из деревни.,But he used to be just a country boy.
intro_temple_9_3,Joe,"Ему предсказали, что он погубит множество жизней.",He was told that he would cause the loss of many lives.
intro_temple_9_4,Joe,Страшная история.,A scary story.
intro_temple_9_5,Joe,Он дал обет молчания и пришёл сюда.,He took a vow of silence and came here.
intro_temple_9_6,Joe,"Не ел, не пил, не двигался. Только сидел. Годами.","He didn't eat, drink, or move. He just sat there. For years."
intro_temple_9_7,Joe,Но однажды…он услышал голоса мертвых.,But one day… he heard the voices of the dead.
intro_temple_9_8,Ray,И что потом?,And then what?
intro_temple_9_9,Ray,Он обрел истину.,He found the truth.
templerun_1_1,Joe,Это зал для …. осмысления.,This is a room for … reflection.
templerun_1_2,Joe,Первый этап обретения веры.,The first stage of finding faith.
templerun_1_3,Joe,Пройди путь своего бога.,Walk the path of your god.
templerun_1_4,Joe,Пока на тебя не снизойдёт озарение.,Until a flash of inspiration strikes you.
templerun_1_5,Joe,Но... если захочешь даже просто пошевелиться — смерть.,But... if you even try to move—it's death.
templerun_1_6,Ray,[shake]Миленько…[/shake],That's cute…
templerun_1_7,Leon,Ага. Просто супер место для медитаций.,Yeah. It's just a great place to meditate.
templerun_1_8,Leon,Этот бог не особо дорожил своими верующими.,This god didn't think much of his followers.
templerun_1_9,Joe,Поднимайся выше.,Reach higher.
templerun_1_10,Joe,"Там ты и узнаешь, в чём ""глубина"" этого учения.",That's where you'll discover the “depth” of this teaching.
templerun_1_11,Ray,[shake]У меня от тебя мурашки по чешуе![/shake],You give me goosebumps all over my scales!
templerun_2_1,Joe,Ну как тебе зал молчания?,"So, what do you think of the silence room?"
templerun_2_2,Leon,Я впервые вижу такие… методы покаяния.,This is the first time I've seen such... methods of repentance
templerun_2_3,Joe,Это же не просто храм.,It's not just a temple.
templerun_2_4,Joe,Это храм Бога Смерти.,This is the temple of the God of Death.
templerun_2_5,Joe,Здесь каждый шаг...,"Here, every step..."
templerun_2_6,Joe,"...либо к просветлению, либо к забвению.",...either to enlightenment or to oblivion.
templerun_2_7,Ray,"Но ты же говорил, что он был обычным человеком.",But you said he was just an ordinary person.
templerun_2_8,Joe,Так и есть.,That's right.
templerun_2_9,Joe,Но даже обычный человек может стать богом…,But even an ordinary person can become a god…
templerun_2_10,Joe,Если поверит в свою силу.,If he believes in his own strength.
shiftarena_1_1,Pawwaro,Лжепророк должен быть уничтожен.,The false prophet must be destroyed.
shiftarena_1_2,Pawwaro,Всех кто сеет бред о божественной силе...,Anyone who spouts nonsense about divine power...
shiftarena_1_3,Pawwaro,Устранить.,Resolve.
shiftarena_1_4,Pawwaro,Если сектанты поднимут оружие...,If the cult members take up arms...
shiftarena_1_5,Pawwaro,Устранить.,Resolve.
shiftarena_1_6,Melee,"Да, Господин!","Yes, sir!"
shiftarena_1_7,Pawwaro,Будь рядом.,Stay close.
shiftarena_1_8,Pawwaro,Если Лжепророк попытается сбежать ...,If the False Prophet tries to escape...
shiftarena_1_9,Pawwaro,"Ты знаешь, что делать.",You know what to do.
belltutor_1_1,Pawwaro,Давно надо было вырезать эту опухоль с тела Империи!,This cancer should have been cut out of the Empire's body a long time ago!
belltutor_1_2,Pawwaro,Вниз!,Down!
belltutor_1_3,Pawwaro,Дзюро!,Juro!
belltutor_1_4,Leon,Это что за машина?!,What kind of car is that?!
belltutor_1_5,Melee,Господин… это место…,Sir… this place…
belltutor_1_6,Melee,...здесь что-то не так.,...something's not right here.
belltutor_1_7,Melee,Нам лучше отступить...,We'd better retreat...
belltutor_1_8,Pawwaro,Нам не по пути со слабыми.,We have no time for the weak.
belltutor_1_9,Leon,"Понятно, кто устроил здесь заварушку.",It's clear who caused all this commotion here.
belltutor_1_10,Leon,Кажется этот культ не поделил что то с Империей,It seems this cult didn't share something with the Empire
belltutor_2_1,Leon,Сука... Ну ты и зверь.,Bitch... You're such a beast.
belltutor_2_2,Leon,Ну давай.,"Well, let's do it."
belltutor_2_3,Leon,Мне не впервой.,This isn't the first time for me.
belltutor_3_1,,Вот это хреновина.,That's a real piece of crap.
belltutor_3_2,,И как мне пройти?,"So, how do I get there?"
followray_2_1,Melee,Чёрт... Это чё вообще?,Damn... What the heck is this?
followray_2_2,Melee,"Их что, живьём подвесили?","So, did they hang them alive or what?"
followray_2_3,Melee,"Не бойтесь, сейчас спасем вас!","Don't worry, we'll save you right now!"
followray_2_4,Monk,Во имя Бога Бессмертного...,In the name of the Immortal God...
followray_2_5,Monk,Мы уже спасены!,We're already saved!
followray_2_6,Monk,Пусть сольются плоть и дух в огне!,Let flesh and spirit merge in the fire!
followray_2_7,Melee,Что?,
followray_2_8,Melee,Что?,What?
followray_2_9,Leon,Да они тут все психи!,"Man, they're all crazy here!"
followray_1_1,Melee,Это статуя?,Is that a statue?
followray_1_2,Pawwaro,Снимите покрывало.,Remove the cover.
followray_1_3,Melee,"Жутко, но красиво.","Creepy, but beautiful."
followray_1_4,Melee,Сколько ж костей они туда влепили…,Just how many bones did they cram in there…
followray_1_5,Melee,"Они что, настоящие?",Are those real?
followray_1_6,Pawwaro,Вот и Бог смерти.,And here is the God of Death.
followray_1_7,Melee,Черт!,Damn!
followray_1_8,Melee,"Дзюро… господин, он… он же…","Juro… sir, he… he’s…"
followray_1_9,Pawwaro,Разберите обломки.,Sort through the debris.
followray_1_10,Pawwaro,Я не дам своему лучшему воину вот так погибнуть.,
followray_1_11,Melee,Он дышит!,He's breathing!
followray_1_12,Melee,Но... уже не поднимется...,But... he won't get up again...
followray_1_13,Pawwaro,Это решать ни тебе и ни ему.,It's not up to you or him to decide.
ray_temple_1_1,Ray,Леон!..,Leon!...
ray_temple_1_2,Ray,Скорее!,Hurry up!
ray_temple_1_3,Leon,Да не ори ты! Я уже здесь!,Stop yelling! I'm already here!
ray_temple_1_4,Ray,ПОМОГИ!,HELP!
ray_temple_1_5,Leon,[shake]Блядь.[/shake],[shake]Fuck.[/shake]
ray_temple_1_6,Leon,"Я вас догоню, петушары в масках.","I'll catch up with you, you masked cockerels."
ray_temple_3_1,,Леон!,Leon!
ray_temple_3_2,,"О, а вот и ты!","Oh, there you are!"
ray_temple_3_3,Leon,Вы реально принесли его в гнездо?,Did you really bring him to the nest?
ray_temple_3_4,Leon,"Он че, червяк?","What is he, a worm?"
ray_temple_3_5,Ray,Спаси меня!,Save me!
ray_temple_3_6,Leon,"Не, я хочу посмотреть, что они будут делать дальше.","No, I want to see what they'll do next."
ray_temple_3_7,Ray,Я СЕРЬЕЗНО!,I'M SERIOUS!
ray_temple_3_8,Leon,"Ну лан, лан.","Well, okay, okay."
ray_temple_3_9,,"Если ты откроешь эту заслонку, то я помогу тебе!","If you open that flap, I'll help you!"
ray_temple_3_10,,Чем? Добрым словом?,With what? A kind word?
ray_temple_3_11,,Увидишь!,You'll see!
ray_temple_3_12,,У меня еще остались склянки с ядом.,I still have some vials of poison left.
ray_temple_4_1,Leon,"Ну что...где мое ""спасибо"" за то, что...",So... where's my “thank you” for...
ray_temple_4_2,Ray,ОСТАНОВИ ЕГО!,STOP HIM!
ray_temple_4_3,Leon,"Да все в порядке, он тебя не тронет….","It's okay, he won't hurt you…"
ray_temple_4_4,,"[wave]Мы с вам поквитаемся, дзинково отродье![/wave]","[wave]We'll settle the score with you, you zinc-headed scum![/wave]"
ray_temple_4_5,Ray,У него моя фигурка!,He has my figurine!
ray_temple_4_6,Leon,"Та змеиная херня, которую ты прячешь в кимоно?",That snake-related crap you're hiding in your kimono?
ray_temple_4_7,Leon,Да ты издеваешься!,Are you kidding me!
ray_temple_4_8,Ray,"Пожалуйста, Леон.","Please, Leon."
ray_temple_4_9,Ray,Это действительно очень важно.,That really is very important.
ray_temple_4_10,Leon,ДА БЛЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯ..........,FUCK
ray_temple_4_11,Leon,Ладно.,Okay.
tengufight_1_1,Demon,Семья!,Family!
tengufight_1_2,Demon,Я дал обет молчания...,I took a vow of silence...
