kind,lang,beta_key,weblate_key,beta_value,weblate_value,weblate_last_updated,take,rule
common,en,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Choose a fighter</size>

Fighters have more health than Shooters
and are strong in melee combat</b>","<b>Choose a fighter</b>

Fighters have more health than Shooters and are strong in melee combat",2026-09-22T09:01,beta,review
common,es,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Elige a un combatiente</size>

Los combatientes tienen más salud que los tiradores
y son fuertes en el combate cuerpo a cuerpo</b>","<b>Elige a un combatiente</b>

Los combatientes tienen más salud que los tiradores y son fuertes en el combate cuerpo a cuerpo",2026-09-22T09:01,beta,review
common,fr,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Choisis un combattant</size>

Les combattants ont plus de santé que les Tireurs
et sont forts au corps-à-corps</b>","<b>Choisis un combattant</b>

Les combattants ont plus de santé que les Tireurs et sont forts au corps-à-corps",2026-09-22T09:01,beta,review
common,pt,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Escolha um combatente</size>

Combatentes têm más vida do que Atiradores
e são fortes no combate corpo a corpo</b>","<b>Escolha um combatente</b>

Combatentes têm mais vida do que Atiradores e são fortes no combate corpo a corpo",2026-09-22T09:01,beta,review
common,pl,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Wybierz wojownika</size>

Wojownicy mają więcej zdrowia niż Strzelcy
i są silni w walce wręcz</b>","<b>Wybierz wojownika</b>

Wojownicy mają więcej zdrowia niż Strzelcy i są silni w walce wręcz",2026-09-22T09:01,beta,review
common,de,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Wähle einen Kämpfer</size>

Kämpfer haben mehr Gesundheit als Schützen
und sind stark im Nahkampf</b>","<b>Wähle einen Kämpfer</b>

Kämpfer haben mehr Gesundheit als Schützen und sind stark im Nahkampf",2026-09-22T09:01,beta,review
common,it,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Scegli un combattente</size>

I combattenti hanno più salute dei Tiratori
e sono forti nel corpo a corpo</b>","<b>Scegli un combattente</b>

I combattenti hanno più salute dei Tiratori e sono forti nel corpo a corpo",2026-09-22T09:01,beta,review
common,th,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>เลือกนักสู้</size>

นักสู้มีพลังชีวิตมากกว่าพลยิง
และแข็งแกร่งในการต่อสู้ระยะประชิด</b>","<b>เลือกนักสู้</b>

นักสู้มีพลังชีวิตมากกว่าพลยิงและแข็งแกร่งในการต่อสู้ระยะประชิด",2026-09-22T09:01,beta,review
common,id,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Pilih petarung</size>

Petarung memiliki lebih banyak kesehatan daripada Penembak
dan kuat dalam pertempuran jarak dekat</b>","<b>Pilih petarung</b>

Petarung memiliki lebih banyak kesehatan daripada Penembak dan kuat dalam pertempuran jarak dekat",2026-09-22T09:01,beta,review
common,cn,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>选择战士</size>

战士比射手拥有更多生命值
且擅长近战</b>","<b>选择战士

战士比射手拥有更多生命值
且擅长近战</b>",2026-09-22T09:01,beta,review
common,kr,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>전사를 선택하세요</size>

전사는 궁수보다 체력이 많고
근접전에 강합니다</b>","<b>전사를 선택하세요

전사는 궁수보다 체력이 많고
근접전에 강합니다</b>",2026-09-22T09:01,beta,review
common,jp,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>戦士を選択</size>

戦士は射手よりもHPが高く
近接戦に強い</b>","<b>戦士を選択</b>

戦士は射手よりもHPが高く、近接戦に強い",2026-09-22T09:01,beta,review
common,tr,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Bir savaşçı seç</size>

Savaşçılar, Nişancılardan daha fazla cana sahiptir
ve yakın dövüşte güçlüdür</b>","<b>Bir savaşçı seç</b>

Savaşçılar, Nişancılardan daha fazla cana sahiptir ve yakın dövüşte güçlüdür",2026-09-22T09:01,beta,review
common,vi,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Chọn chiến binh</size>

Chiến binh có nhiều máu hơn Xạ thủ
và mạnh trong cận chiến</b>","<b>Chọn chiến binh</b>

Chiến binh có nhiều máu hơn Xạ thủ và mạnh trong cận chiến",2026-09-22T09:01,beta,review
common,nl,tutorial_hint_soldier_card_select,tutorial_hint_soldier_card_select,"<size=14><b>Kies een strijder</size>

Strijders hebben meer gezondheid dan Schutters
en zijn sterk in gevechten van dichtbij</b>","<b>Kies een strijder</b>

Strijders hebben meer gezondheid dan Schutters en zijn sterk in gevechten van dichtbij",2026-09-22T09:01,beta,review
common,cn,ability_description_shield_steel_damage_null,ability_description_shield_steel_damage_null,"降低命中护盾的炮弹的<sprite name=""explosion"">爆炸伤害半径30%",每第二次炮弹命中不造成伤害并恢复10%耐久度。,2026-09-22T09:01,beta,review
common,kr,ability_description_items_penetration,ability_description_items_penetration,{1}초 동안 원거리 선원이 적 방패를 관통하며 피해가 {2}만큼 증가합니다. 방패로 반사되지 않습니다.,В течение {1}с. матросы дальнего боя пробивают щит противника с увеличенным на {2} уроном. Не отражается щитами.,2026-09-22T09:01,beta,review
