ru_term	target_term
Леон	레온
Аки	아키
Джо	조
Кадзуо	카즈오
Рэй	레이
Павваро	파와로
Хитоши	히토시
Токура	토쿠라
Маста	마스타
Сэри-Молния	세리-라이트닝
Ямито Курогане	쿠로가네 야미토
Кума	Kuma
Хадзуо	하즈오
Мотоки	모토키
Саки	사키
Яэко	야에코
Цуру	츠루
Момо	모모
Хару	하루
Унаги	우나기
Юсэи	유세이
Кай-Стрелок	카이-슈터
Дзюро	주로
Тодзи	토지
Кэн	켄
Хина	히나
Като	카토
Рю	류
Инара	이나라
Император	황제
Император Демонов	마왕
Пророк	예언자
Лжепророк	거짓 예언자
Бог Смерти	죽음의 신
Демон Бесконечности	무한의 악마
Главный Надзиратель	수감소장
Чемпион арены	아레나 챔피언
Команда Нагато	나가토 팀
Команда Кэнто	켄토 팀
Команда Икари	이카리 팀
Третий патруль	제3순찰대
Дзинко	진코
китцуне	키츠네
Наги	나가
Нелюди	비인간
Ёкаи	요카이
Инугами	이누가미
Тануки	타누키
каппы	카파
Иннуэ	이누에
Цутигумо	츠치구모
Тэнгу	텐구
Мертвяки	데드헤드
дохляки	시체들
камикадзе	카미카제
копейщик	창병
Ао-шин	아오-신
ворон	까마귀
Холлспик	세계
Империя	제국
Столица	수도
Рыбный тупик	어항 골목
Нижний Город	하부 도시
Императорские архивы	제국 기록 보관소
Чайный домик	찻집
Лавка "Тысяча мелочей"	잡화점 "천 가지 잡동사니"
бани	목욕탕
Раменная	라멘 가게
«Тысяча мелочей»	「천 가지 잡동사니」
пристань	부두
Шахты Ивамото	이와모토 광산
Замок Ивамото	이와모토 성
Сады замка	성 정원
Коджо-13	코조-13
Отстойник	버리기
Угольные штольни	석탄 갱도\n[폐쇄됨]
Главный лифт	주 엘리베이터
Технический лифт	화물용 엘리베이터
Завод	공장
храм Инары	이나라 신전
храм Возвышения	승천의 신전
храм Бога Смерти	죽음의 신의 신전
зал молчания	침묵의 전당
верхняя часовня	상부 예배당
главное святилище	주 신사
могильник	매장지
Арена	아레나
казармы	병영
нижние ярусы	하부 층
Особняк Масты	마스타의 저택
Великая война	대전쟁
Ци	치
мана	치
чакра	차크라
авамори	아와모리
ошейник	목줄
колба	유리병
Кибиши Фукку	키비시 푸쿠
Нефрит	옥
нефритовые кости	옥 주사위
нефритовый угорь	옥 같은 장어
саке	사케
хинин	퀴닌
рамен	라멘
шиитаке	표고버섯
гейша	게이샤
кимоно	기모노
ритуальное масло	의식용 오일
маска демона	악마의 가면
колокольчик	작은 종
священные колокола	신성한 종
ключ Главного Надзирателя	수감소장의 열쇠
ключ от лифта	엘리베이터 열쇠
динамит	다이너마이트
детонатор	기폭장치
несущие колонны	지지 기둥
Диспенсер ЦИ	치 디스펜서
сосуд с концентрированной энергией ЦИ	농축 치 에너지 용기
фигурка	조각상
зелье	물약
ритуал	의식
печать	봉인
паства	신도들
Неофит	신입 신도
Месса	미사
Монах	승려
культисты	광신도들
сектанты	종파도들
стража	경비병들
шахтеры	광부들
пророчество	예언
предок	조상
мир духов	영혼의 세계
барьер Ци	치 장벽
Добивание	피니셔
Рывок	대시
Двойной рывок	더블 대시
Прыжок	점프
Прыжок от стены	벽 점프
Удар в прыжке	공중 공격
Пинок	강력한 킥
Атака	공격
Лёгкий удар	약공격
Тяжёлый удар	강공격
Слабый удар	약공격
сильный удар	강공격
Апперкот	어퍼컷
Удар хвостом	꼬리 베기
Бросок меча	검 던지기
Отражение снаряда	막기
Паррирование	패리
Комбо	연타
Сильное комбо	강력 콤보
Множитель комбо	콤보 배수
Электроудар	전기 슬램
Воздушный разрез	공중 베기
Ци-пистолет	기 권총
Черная дыра	블랙홀
Падающее Небо	떨어지는 하늘
Точный удар	정밀 타격
Заклинание	주문
Особый	스페셜
Провокация	도발
Взаимодействие	상호작용
Список приемов	기술 목록
Новая способность	새로운 능력
Ци-броня	치 아머
Сфера Ци	치 스피어
броня	치 아머
щит	치 아머
умение	능력
капкан	덫
ячейка здоровья	체력 조각
макс. здоровье	최대 체력
макс. ци	최대 치
Повышение	업그레이드
предмет	아이템
цель	목표
Уровень пройден	레벨 클리어
Ранг	순위
Очки	점수
Смертей	사망 횟수
Время	소요 시간
Режим Лихорадка	피버 모드
СТАНДАРТ	스탠다드
КИРА	키라
АКУМА	악마
Выбор сложности	난이도 선택
контрольная точка	체크포인트
статуя	조각상
змееныш	뱀 소년
змеюка	뱀 얼굴
змей	뱀
ящерица	도마뱀
лис	여우
лисёнок	여우 새끼
Рыжий	빨간 머리
хвостатый	꼬리 달린 놈
хвостатая мразь	지저분한 꼬리 달린 쥐새끼야
лисий ублюдок	여우 새끼야
дзинково отродье	진코 새끼
нелюдь вшивый	이 더러운 비인간아
мразь	쓰레기
урод	괴물아
поехавший	미친놈
Паук	거미
Имперская шавка	제국의 개새끼
недобиток	살아남은 잔당
Хозяин	주인님
Господин	각하
братишка	동무
дитя	아이야
мелочь	꼬맹아
пес	개자식
зверь	짐승아
червяк	벌레야
Акито	아키토
Асуна	아스나
Ичиро	이치로
мон	몬
Трущобы	빈민가
