ru,en,note
Линия обороны,Defense line,"Режим боя: отражать атаки противника до прихода подмоги. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. На странице Steam этот режим назван Frontline, в ките Defense line. Ключ движка: LevelModes_Deffence. Раздел: МЕНЮ."
Плацдарм,Foothold,"Режим боя: захватить штаб и отбить контратаку противника. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_CaptureAndDeffence. Раздел: МЕНЮ."
Захват,Offensive,"Режим боя: захватить ключевые позиции врага. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Омоним: «Захват» — название режима, а не действие; en в ките Offensive, не Capture. Ключ движка: LevelModes_Attack. Раздел: МЕНЮ."
Противостояние,Clash,"Режим боя: удержать больше точек, чем противник. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_Territory. Раздел: МЕНЮ."
Исторические сражения,Historical battles,"Режим боя: задания, основанные на реальных событиях. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_Historical. Раздел: МЕНЮ."
Туман войны,Fog of war,"Скрывает неразведанную часть карты. Настройка боя в меню выбора режима: короткая подпись, держать единообразно. Ключ движка: LevelModes_FogOfWar. Раздел: МЕНЮ."
Время обороны,Defense time,"Длительность оборонительной фазы боя. Настройка боя в меню выбора режима: короткая подпись, держать единообразно. Ключ движка: LevelModes_DeffenceTimer. Раздел: МЕНЮ."
Уровень сложности,Difficulty,Заголовок выбора сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Title. Раздел: МЕНЮ.
Легко,Easy,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Easy. Раздел: МЕНЮ.
Средне,Normal,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Не смешивать с качеством графики «Среднее» (Medium): у сложности en Normal. Ключ движка: Difficulty_Normal. Раздел: МЕНЮ.
Тяжело,Hard,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Hard. Раздел: МЕНЮ.
Кампания,Campaign,Раздел главного меню: сюжетная кампания. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. Ключ движка: MenuButtons_Campaign. Раздел: МЕНЮ.
Боевые операции,Combat operations,Раздел главного меню: боевые операции вне кампании. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. Ключ движка: MenuButtons_CombatOperations. Раздел: МЕНЮ.
Сражения,Instant Action,"Раздел главного меню: одиночный бой вне кампании. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. en в ките Instant Action, а не Battles: это осознанная адаптация, держать её. Ключ движка: MenuButtons_Battles. Раздел: МЕНЮ."
Режим строительства!,Construction mode,Фаза перед боем: игрок возводит укрепления. Название фазы боя: тот же перевод в объявлении фазы и в HUD. Восклицательный знак — часть строки. Ключ движка: Phase_Building. Раздел: ОКНА.
Режим битвы!,Battle mode,Фаза боя после фазы подготовки. Название фазы боя: тот же перевод в объявлении фазы и в HUD. Восклицательный знак — часть строки. Ключ движка: Phase_Battle. Раздел: ОКНА.
Очки поддержки,Support points,"Счётчик очков поддержки в HUD: артудар, разведка, авиация. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_SupportScores. Раздел: ОКНА / Actions."
Очки стройки,Construction points,"Счётчик очков, доступных в фазе строительства. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_BuildingScores. Раздел: ОКНА / Actions."
Очки найма,Recruitment points,"Счётчик очков, доступных на вызов подкреплений. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_RecruitmentsScores. Раздел: ОКНА / Actions."
Лимит юнитов,Unit limit,"Счётчик: сколько юнитов игрок может держать в бою. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_UnitLimit. Раздел: ОКНА / Actions."
