unit_id	context	ru_source	target
371206	hub1_first_1_1	Леон, вставай. Мы уже приехали.	레온, 일어나. 우리 벌써 도착했어.
371207	hub1_first_1_2	Хорошо… Давно мы приехали?	좋아… 언제 도착했는데?
371208	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	방금. 너는 길 내내 잠만 잤어.
371209	hub1_first_1_4	Проспал очередные виды на ебеня?	또 씨발 촌구석 풍경이나 놓친 거야?
371210	hub1_first_1_5	Даже не знаю, как я это переживу.	이걸 어떻게 견뎌야 할지 모르겠네.
371211	hub1_first_1_6	Добро пожаловать в Столицу.	수도에 온 걸 환영하네.
371212	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	음, 아니면 수도에서 가장 '좋은' 곳인 어항 골목이라고 해야겠군.
371213	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	아키토 3세 황제 때 지은 지 얼마 안 된 곳이지.
371214	hub1_first_1_9	Он опять завёл эту шарманку.	저 녀석 또 그 역사 이야기를 꺼내는군.
371215	hub1_first_1_10	Я чёт подустал от этих уроков истории.	이 역사 강의는 좀 지겹다.
371216	hub1_first_1_11	Все пауки такие?	거미들은 다 이래?
371217	hub1_first_1_12	Хранители знаний, да	지식의 수호자라, 그래
371218	hub1_first_1_13	Скукота.	지루해.
371219	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	매우 흥미롭군요. 그리고 저희를 던져주셔서 감사합니다.
371220	hub1_first_1_15	Без проблем.	별말씀을.
371221	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	지나칠 수 없었어, 게다가 네들이 내 조카들을 떠올리게 하니.
371222	hub1_first_1_17	Только… с чешуей и шерстью.	다만… 비늘과 털이 달린.
371223	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	「천 가지 잡동사니」에 들러보게!
371224	hub1_first_1_19	Хорошо, спасибо!	네, 감사합니다!
371225	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	나 여기 할 일이 있네. 나중에 보자
371226	hub1_first_1_21	А как мне тебя найти?	어떻게 널 찾으면 돼?
371227	hub1_first_1_22	Я тебя сам найду.	내가 직접 널 찾을 거야.
371228	hub1_first_1_23	У меня от него чешуя дыбом стоит.	쟤만 보면 온몸에 소름이 끼쳐.
371229	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	진짜로, 하즈오는 쟤 동족인데도 쟤 옆에 있을 때만큼 두렵지 않아.
371230	hub1_first_1_25	А я думал, вы лучшие подружки.	둘이 죽이 잘 맞는 친구인 줄 알았는데.
371231	hub1_first_1_26	Ха-ха. Что будем дальше делать?	하하. 이제 뭐 할까?
371232	hub1_first_1_27	Кажется, я не ел целую вечность.	거의 영겁만에 먹는 것 같아.
371233	hub1_first_1_28	Может, набьём животы?	빈 속이나 채울까?
371234	hub1_first_1_29	Можно.	그럴까요.
371235	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	와! 여기 얼마나… 뭐라 해야… 예쁘네!
371236	hub1_overlook_1_2	Тут? Это же просто трущобы.	여기? 그냥 빈민가잖아.
371237	hub1_overlook_1_3	Я никогда не видел такого большого города!	이렇게 큰 도시는 처음 봐!
371238	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	수도 자체는 널 더 놀라게 할 거야!
371239	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	여기서 라멘을 파네. 가자!
371240	hub1_ramen_1_1	Это что за фигня?!	이게 뭐야?!
371241	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	라멘이야. 한번도 먹어본 적 없어?
371242	hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	응. 우리 마을에선 이런 거 안 만들었어.
371243	hub1_ramen_1_4	А потом я ел только… с пола…	그 다음엔... 바닥에서만 먹었고…
371244	hub1_ramen_1_5	Ясно.	알겠어.
371245	hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	빨리 먹어봐. 마음에 들 거야.
371246	hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	씨발. 존나. 맛있네.
371247	hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	난 항상 말하지. 라멘을 먹으면 돌처럼 단단해진다고!
371248	hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	닥쳐, 늙은이! 그들한테 시끄럽게 굴지 마!
371249	hub1_ramen_1_11	Да я ничего не делал!	난 아무것도 안 했어!
371250	hub1_ramen_1_12	Вот и не делай!	그러니까 하지 마!
371251	hub1_ramen_1_13	Нам нужно где-то остановиться.	우리 잠깐 쉴 곳이 필요해요.
371252	hub1_ramen_1_14	Мне все равно!	난 상관없어!
371253	hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	난 내 누나를 누구한테 팔았는지나 알고 싶을 뿐이야!
371254	hub1_ramen_1_16	И как ты это сделаешь?	그걸 어떻게 알아낼 건데?
371255	hub1_ramen_1_17	Без понятия.	모르겠다.
371256	hub1_ramen_1_18	Нам нужна комната на несколько дней.	우리 며칠 묵을 방이 필요해요.
371257	hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	좋아! 나한텐 숙박객이 필요하단 말이야!
371258	hub1_ramen_1_20	Ты подслушивал?	너 엿들었냐?
371259	hub1_ramen_1_21	Так я всегда подслушиваю.	난 항상 엿들어.
371260	hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	라멘 가게 뒤에 있는 창고에서 자도 돼.
371261	hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	단, 명심해! 표고버섯은 다 세놨으니까.
371262	hub1_ramen_1_24	… что за нахрен шиитаке…	...씨발 대체 표고버섯이 뭐야…
371263	hub1_ramen_1_25	Мы бы с радостью у вас остановились.	기꺼이 여기서 묵겠습니다.
371264	hub1_ramen_1_26	Но у нас совсем немного денег.	하지만 돈이 거의 없어요.
371265	hub1_ramen_1_27	А мне и не нужны деньги.	난 돈 필요 없어.
371266	hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	내가 너희한테 새로운 라멘 레시피를 시험해 볼 거야! 거래 성사?
371267	hub1_ramen_1_29	По рукам!	거래 성사!
371268	hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	그리고 도시 안내를 해 줄 가이드도 좀 구해야겠는데…
371269	hub1_ramen_1_31	Мы тут совсем не ориентируемся…	우린 여길 전혀 모르니까…
371270	hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	우리 중 누구도 여기서 수도 쪽으로 코를 내밀지 않아…
371271	hub1_ramen_1_33	Хотя, загляните в чайный домик.	하지만, 찻집에 한번 가 보는 게 어때.
371272	hub1_ramen_1_34	Девочки госпожи Яэко частенько в городе бывают.	야에코 부인의 여자애들이 자주 도시에 나가거든.
371273	hub1_ramen_1_35	Как их найти?	어디서 찾지?
371274	hub1_ramen_1_36	Вот тут у нас главное место Рыбного тупика - моя раменная!	여기 어항 골목의 중심지가 바로 내 라멘 가게야!
371275	hub1_ramen_1_37	Но это вы и так знаете.	하지만 그건 너희도 이미 알지.
371276	hub1_ramen_1_38	Пойдете вот сюда - окажетесь на пристани.	여기로 가면 부두에 도착해.
371277	hub1_ramen_1_39	Вот на этот корабль лучше не соваться.	저 배에는 함부로 가지 않는 게 좋아.
371278	hub1_ramen_1_40	Если конечно не хотите встретиться с морскими волками.	바다 늑대들을 만나고 싶지 않다면 말이지.
371279	hub1_ramen_1_41	Свернете сюда и окажетесь в банях, шикарное место для отдыха.	여기로 꺾으면 목욕탕이 나오는데, 휴식하기 딱 좋은 곳이야.
371280	hub1_ramen_1_42	Тут будет лавка травника,	여긴 약초상이 있고,
371281	hub1_ramen_1_43	а тут барахолка.	여긴 잡화점이야.
371282	hub1_ramen_1_44	А прямо над нами находится чайный домик.	그리고 우리 바로 위에는 찻집이 있어.
371283	hub1_ramen_1_45	Если запутаетесь, изучите нашу карту.	길을 잃으면 우리 지도를 보면 돼.
371284	hub1_ramen_1_46	Ясно, погнали.	알겠어, 가자.
371285	hub1_fisherman_quest_1_1	Вот что еще вспомнил…	아, 하나 더 생각났는데…
371286	hub1_fisherman_quest_1_2	Может сделаете для меня кое-чего, молодежь?	나 좀 도와줄래, 젊은이들?
371287	hub1_fisherman_quest_1_3	А то мне самому лень.	내가 직접 하기엔 귀찮아서 말이야.
371288	hub1_fisherman_quest_1_4	Вам по пути!	가는 길에 딱이잖아!
371289	hub1_fisherman_quest_1_5	Ладно, что нужно?	좋아, 뭘 하면 돼?
371290	hub1_fisherman_quest_1_6	Заберите у рыбака на пристани нефритового угря…	부두에 있는 어부한테서 옥 같은 장어 좀 가져와…
371291	hub1_fisherman_quest_1_7	Приготовлю божественный рамен!	신선한 라멘을 만들어 주지!
371292	hub1_fisherman_quest_1_8	Всего-то? Да без проблем.	그거 뿐이야? 문제없어.
371293	hub1_fisherman_quest_1_9	Сейчас вообще не до того, извини.	지금은 그럴 상황이 아니야, 미안.
371294	hub1_fisherman_quest_1_10	Эх, ладно. Выгуляю свои старые кости.	에이, 그래. 내가 이 늙은 뼈를 끌고 다녀야겠네.
371295	hub1_teahouse_1_1	Ну и кто это у нас?	이게 누구야?
371296	hub1_teahouse_1_2	О-о-о… какой милый лисёнок.	오-오-오… 귀여운 여우 새끼네.
371297	hub1_teahouse_1_3	И симпатичный наг…	나가도 잘생겼고…
371298	hub1_teahouse_1_4	Даже не начинайте.	시작도 하지 마.
371299	hub1_teahouse_1_5	А зачем тогда пришли?	그럼 왜 왔어?
371300	hub1_teahouse_1_6	Чайный домик — не приют для бездомных.	찻집은 노숙자 쉼터가 아니야.
371301	hub1_teahouse_1_7	Мне нужен сопровождающий в город.	도시까지 안내해 줄 사람이 필요해.
371302	hub1_teahouse_1_8	ТЕБЕ?!	너?!
371303	hub1_teahouse_1_9	Сопровождающий для дзинко?!	진코를 위한 안내인?!
371304	hub1_teahouse_1_10	Мальчик, половина Империи захочет сдать за награду раньше…	얘야, 제국 사람 절반이 먼저 현상금을 받으려고 너를 팔아넘기려 할 거야…
371305	hub1_teahouse_1_11	Чем ты дойдёшь до соседней улицы.	다음 거리까지 어떻게 가겠니.
371306	hub1_teahouse_1_12	Да понял я уже, хватит ржать.	알았다고, 그만 웃어.
371307	hub1_teahouse_1_13	А куда тебе вообще надо?	넌 대체 어딜 가려는 거야?
371308	hub1_teahouse_1_14	Вообще… нам нужна информация о дзинко. Документы, отчеты…	사실… 저희는 진코에 대한 정보가 필요해요. 문서, 보고서 같은…
371309	hub1_teahouse_1_15	Может подскажите, где ее можно найти?	어디서 찾을 수 있을지 알려주실 수 있나요?
371310	hub1_teahouse_1_16	Вам нужно в Архивы.	제국 기록 보관소에 가보셔야겠네요.
371311	hub1_teahouse_1_17	Там хранятся все старые документы Империи.	거기엔 제국의 모든 오래된 문서가 보관되어 있어요.
371312	hub1_teahouse_1_18	И как туда попасть?	거기엔 어떻게 들어가?
371313	hub1_teahouse_1_19	Какое совпадение.	참 우연이네요.
371314	hub1_teahouse_1_20	У меня предложение, которое будет выгодно нам обоим, молодой человек.	저한테 우리 둘 다에게 이익이 될 만한 제안이 있어요, 젊은이.
371315	hub1_teahouse_1_21	Доставь это послание нашему человеку в Нижнем Городе…	이 편지를 하부 도시에 있는 우리 사람에게 전해주세요…
371316	hub1_teahouse_1_22	И он даст тебе ключ от туннелей под городом.	그가 너에게 도시 아래 터널 열쇠를 줄 거야.
371317	hub1_teahouse_1_23	Там можно попасть в Архив.	거기서 기록 보관소에 들어갈 수 있어.
371318	hub1_teahouse_1_24	Сделка?	거래할까?
371319	hub1_teahouse_1_25	Уговор.	그렇게 하자.
371320	hub1_teahouse_1_26	Леон, ты с ума сошел? Как ты проберешься через Нижний город?	레온, 너 미쳤어? 어떻게 하부 도시를 통과할 건데?
371321	hub1_teahouse_1_27	По крышам.	지붕 위로.
371322	hub1_teahouse_1_28	Ой, какой самоуверенный.	어머, 정말 자신만만하네.
371323	hub1_teahouse_1_29	Мне нравится.	마음에 들어.
371324	hub1_teahouse_1_30	Мне тоже.	나도 마음에 들어.
371325	hub1_teahouse_1_31	Я думаю у барахольщика Хадзуо ты найдешь что-нибудь…	잡화점 주인 하즈오한테서 뭔가 찾을 수 있을 거야…
371326	hub1_teahouse_1_32	Что поможет тебе в этом пути.	이 여정에 도움이 될 만한 것.
371327	hub1_teahouse_1_33	Что именно?	정확히 뭔데?
371328	hub1_teahouse_1_34	Он же барахольщик. Какое-нибудь барахло.	잡화점 주인이야. 뭔가 잡동사니 같은 거.
371329	hub1_teahouse_1_35	Ладно, я загляну к нему.	알겠어, 그 사람한테 들러볼게.
371330	hub1_scrappy_1_1	А, мои племяннички вернулись!	아, 내 조카들이 돌아왔구나!
371331	hub1_scrappy_1_2	В поисках знаний, или вас привела нужда?	지식을 찾아서, 아니면 궁핍함이 데려왔나?
371332	hub1_scrappy_1_3	Нужно что-то, чтобы по крышам пройти.	지붕 위를 지나갈 수 있는 게 필요해.
371333	hub1_scrappy_1_4	По крышам, говорите…	지붕 위를 지나간다니…
371334	hub1_scrappy_1_5	Ах! Это напоминает мне о мостах из бамбука времён императора Акито!	아! 이 이야기는 아키토 황제 시대의 대나무 다리를 떠올리게 하는군!
371335	hub1_scrappy_1_6	Знаете ли вы, что его войска…	그의 군대가… 알고 계신가요?
371336	hub1_scrappy_1_7	Ты уверен, что у тебя в лавке вообще есть хоть что-то полезное?	네 가게에 정말 쓸 만한 거 하나라도 있는 거 맞아?
371337	hub1_scrappy_1_8	Вот, к примеру, веер придворной дамы.	예를 들어, 궁중 귀부인의 부채 말이지.
371338	hub1_scrappy_1_9	Когда она убегала к любовнику, этот звук маскировал её шаги…	그녀가 정부에게 달아날 때, 이 소리가 발소리를 가려줬단다…
371339	hub1_scrappy_1_10	Может, у тебя есть ещё бамбуковая зубочистка?	대나무 이쑤시개라도 더 있냐?
371340	hub1_scrappy_1_11	Тоже пригодится, ага.	그것도 쓸모 있을 거야, 그래.
371341	hub1_scrappy_1_12	Хадзуо, может быть, что-то попрактичнее?	하즈오, 좀 더 실용적인 건 없을까요?
371342	hub1_scrappy_1_13	А это — маска актёра.	이건 배우의 가면이야.
371343	hub1_scrappy_1_14	Один вор использовал её, чтобы стоять неподвижно на площади и притворяться статуей…	한 도둑이 광장에 가만히 서서 조각상인 척할 때 썼던 거지…
371344	hub1_scrappy_1_15	ВСЁ, ХВАТИТ! Мне не нужна коллекция пиздежа!	됐어, 그만! 나한테 개소리 컬렉션 필요 없거든!
371345	hub1_scrappy_1_16	О! Инструмент кровельщиков.	오! 지붕 수리공의 도구군.
371346	hub1_scrappy_1_17	С его помощью поднимали черепицу! Для тебя то, что нужно.	이걸로 기와를 올렸지! 너한테 딱 맞는 물건이야.
371347	hub1_scrappy_1_18	Наконец-то. Хоть раз твой мусор оказался в тему.	드디어. 네 쓰레기가 한 번쯤은 쓸모가 있네.
371348	hub1_scrappy_1_19	Спасибо, Хадзуо.	고마워요, 하즈오.
371349	hub1_scrappy_1_20	История всегда знает, когда подоспеть.	역사는 언제 도움이 필요한지 항상 알고 있지.
371350	hub1_fisherman_quest_2_1	Малыш, а ты не видел тут рыбака?	꼬마야, 여기 어부 본 적 있어?
