en,ru,note
A New Glasses,Новые очки,[Orders] orderTerrain1.1Step2Title
All about the likes!,Щедрые на лайки!,[UI] upgradeTradeMoreLikesStat
Altar,Алтарь,[UI] upgradeCraftCurseRemovalSlotsStat
Amethyst (Big),Аметист (Большой),[Loot] amethystBig
Amethyst (Medium),Аметист (Средний),[Loot] amethystMedium
Amethyst (Rough),Аметист (Необработанный),[Loot] amethystRough
Amethyst (Small),Аметист (Малый),[Loot] amethystSmall
Ancient Coin (Gold),Древняя монета (золото),[Loot] goldSmallCoin
Ancient Coin (Silver),Древняя монета (серебро),[Loot] silverSmallCoin
Ancient Money,Древние деньги,[Orders] orderTerrain1.2Step1Title
Ancient Tome,Древняя книга,[Loot] artifactBook
Appraisal,Оценка,[UI] unknownSlot
Artifact,Артефакт,[Loot] artifact; [UI] artifact
Artifacts,Артефакты,[UI] artifacts
Avian Gemstone,Птичий Самоцвет,[Loot] gemBirdSmall
Backpack,Рюкзак,[UI] backpack
Bad profit,Плохая прибыль,[UI] badProfit
Ball-Roller,Шарокат,[Orders] orderTerrain1.2Step2Title
Beacon,Светоч,[UI] terrain2Biome2Title
Belomar,Белоземье,[UI] terrain2Title
Best Heater,Лучшая Грелка,[Orders] orderTerrain2.3Step2Title
Best profit,Лучшая прибыль,[UI] bestProfit
Big bag,Большая сумка,[UI] upgradeVehicleWeightStat
Big Deal,Большой Куш,[Orders] orderTerrain2.3Step7Title
Big Owl,Взрослая Сова,[Orders] orderTerrain2.3Step6Thank
Bird,Птица,[UI] bird
Bleed,Кровотечение,[UI] statEffectDamageBleed
Blooming Garden Brooch (Gold),Брошь Расцветшего Сада (золото),[Loot] treasureGoldNecklace1GT1.1
Blue Sapphire (Big),Синий Сапфир (Большой),[Loot] sapphireBig
Blue Sapphire (Medium),Синий Сапфир (Средний),[Loot] sapphireMedium
Blue Sapphire (Small),Синий Сапфир (Малый),[Loot] sapphireSmall
Bonded Belt (Silver),Пояс Уз (серебро),[Loot] treasureSilverNecklace1GT1.1
Bondstone (Big),Камень Привязанности (Большой),[Loot] loveBig
Bondstone (Medium),Камень Привязанности (Средний),[Loot] loveMedium
Bondstone (Small),Камень Привязанности (Малый),[Loot] gemLoveSmall
Bracelet,Браслет,[Loot] bracelet
Broken Visage Mask,Сломанная Маска Лика,[Loot] roughMaskT1
Brooch,Брошь,[Loot] brooch
Brown Ruby,Бурый Рубин,[Loot] gem.ruby.small.t1.bad
Buried Chest,Сундук,[Loot] chest
Buyer,Покупатель,[Tutorial] buyer
Canary,Канарейка,[Orders] orderTerrain2.3Step3Description; [Tutorial] DialogueBeforeBirdCharacter2
Capacity,Вместимость,[UI] upgradeStorageWeightStat
Casket,Шкатулка,[Loot] casket
Celestial Ring,Небесное кольцо,[Loot] treasureMeteoriteIron1GT1.1
Character,Искатель,[Tutorial] character
Character Status,Состояние персонажа,[UI] effects
Chest,Сундук,[UI] chest
Chest of the Jarl,Сундук Конунга,[Loot] winter.chest
Chest slot,Взлом,[UI] upgradeCraftChestSlotsStat
Chests,Сундуки,[UI] chests
Chipped Big Diamond,Сколотый Алмаз (Большой),[Loot] gem.diamond.big.bad
Coco,КоКо,[UI] upgradeCraftEggSlotsStatDescription
Coin of Ancient Glory,Монета древнего величия,[Loot] artifactGoldCoinBest
Coins,Монеты,[UI] coins
Collected,Получено,[Loot] collected
Colophony Mosquito,Комар в канифоли,[Loot] Jur.Cheap
Colossal Diamond,Колоссальный Алмаз,[Loot] gem.diamond.big.good
Common,Обычный,[UI] common
Cosmic Intruder,Космический засланец,[Orders] orderTerrain2.2Step3Title
Count Blingula,Граф Блингула,[Buyers] Buyer10
