ru_term	target_term
Леон	Leon
Аки	Aki
Джо	Joe
Кадзуо	Kazuo
Рэй	Rei
Павваро	Pawwaro
Хитоши	Hitoshi
Токура	Tokura
Маста	Masta
Сэри-Молния	Seri-Lightning
Ямито Курогане	Kurogane Yamito
Кума	Kuma
Хадзуо	Hazuo
Мотоки	Motoki
Саки	Saki
Яэко	Yaeko
Цуру	Tsuru
Момо	Momo
Хару	Haru
Унаги	Unagi
Юсэи	Yusei
Кай-Стрелок	Kai-Scharfschütze
Дзюро	Juro
Тодзи	Toji
Кэн	Ken
Хина	Hina
Като	Kato
Рю	Ryu
Инара	Inara
Император	Kaiser
Император Демонов	Dämonenkaiser
Пророк	Prophet
Лжепророк	Falscher Prophet
Бог Смерти	Gott des Todes
Демон Бесконечности	Dämon der Unendlichkeit
Главный Надзиратель	Hauptaufseher
Чемпион арены	Arena-Champion
Команда Нагато	Nagatos Team
Команда Кэнто	Kentos Team
Команда Икари	Ikari-Team
Третий патруль	dritte Patrouille
Дзинко	Jinko
китцуне	Kitsune
Наги	Nagas
Нелюди	Nichtmenschen
Ёкаи	Yokai
Инугами	Inugami
Тануки	Tanuki
каппы	Kappas
Иннуэ	Innue
Цутигумо	Tsuchigumo
Тэнгу	Tengu
Мертвяки	Deadheads
дохляки	Deadheads
камикадзе	Kamikaze
копейщик	Naginata-Kämpfer
Ао-шин	Ao-shin
ворон	Rabe
Холлспик	Welt
Империя	Imperium
Столица	Hauptstadt
Рыбный тупик	Fisch-Sackgasse
Нижний Город	Unterstadt
Императорские архивы	Kaiserliche Archive
Чайный домик	Teehaus
Лавка "Тысяча мелочей"	Laden „Tausend Kleinigkeiten“
бани	Bäder
Раменная	Ramen-Laden
«Тысяча мелочей»	„Tausend Kleinigkeiten“
пристань	Anlegestelle
Шахты Ивамото	Iwamoto-Minen
Замок Ивамото	Burg Iwamoto
Сады замка	Schlossgärten
Коджо-13	Kojo-13
Отстойник	Müll
Угольные штольни	Kohlenstollen\n[VERLASSEN]
Главный лифт	Hauptaufzug
Технический лифт	Lastenaufzug
Завод	Fabrik
храм Инары	Tempel von Inara
храм Возвышения	Tempel der Erhebung
храм Бога Смерти	Tempel des Todesgottes
зал молчания	Saal der Stille
верхняя часовня	obere Kapelle
главное святилище	Hauptheiligtum
могильник	Gräberfeld
Арена	Arena
казармы	Kasernen
нижние ярусы	untere Ebenen
Особняк Масты	Mastas Anwesen
Великая война	Großer Krieg
Ци	Qi
мана	Qi
чакра	Chakra
авамори	Awamori
ошейник	Halsband
колба	Kolben
Кибиши Фукку	Kibishi Fuku
Нефрит	Jade
нефритовые кости	Jadeknochen
нефритовый угорь	Jadeaal
саке	Sake
хинин	Chinin
рамен	Ramen
шиитаке	Shiitake
гейша	Geisha
кимоно	Kimono
ритуальное масло	Ritualöl
маска демона	Dämonenmaske
колокольчик	Glöckchen
священные колокола	heilige Glocken
ключ Главного Надзирателя	Schlüssel des Oberaufsehers
ключ от лифта	Aufzugschlüssel
динамит	Dynamit
детонатор	Zünder
несущие колонны	tragende Säulen
Диспенсер ЦИ	Qi-Spender
сосуд с концентрированной энергией ЦИ	Gefäß mit konzentrierter Qi-Energie
фигурка	Figur
зелье	Trank
ритуал	Ritual
печать	Siegel
паства	Gemeinde
Неофит	Neophyt
Месса	Messe
Монах	Mönch
культисты	Kultisten
сектанты	Sektierer
стража	Wachen
шахтеры	Bergleute
пророчество	Prophezeiung
предок	Vorfahr
мир духов	Geisterwelt
барьер Ци	Qi-Barriere
Добивание	Finisher
Рывок	Dash
Двойной рывок	Doppel-Dash
Прыжок	Springen
Прыжок от стены	Wandsprung
Удар в прыжке	Sprungangriff
Пинок	Starker Tritt
Атака	Angreifen
Лёгкий удар	Leichter Angriff
Тяжёлый удар	Schwerer Angriff
Слабый удар	Leichter Angriff
сильный удар	Schwerer Angriff
Апперкот	Uppercut
Удар хвостом	Tail-Cut
Бросок меча	Schwert werfen
Отражение снаряда	Parieren
Паррирование	Parieren
Комбо	Kombination
Сильное комбо	Kraftvolle Kombination
Множитель комбо	Kombo-Multiplikator
Электроудар	Electric Slam
Воздушный разрез	Air-Slash
Ци-пистолет	Qi-Pistole
Черная дыра	Schwarzes Loch
Падающее Небо	Fallender Himmel
Точный удар	Präzisionsschlag
Заклинание	Zauber
Особый	Spezial
Провокация	Spott
Взаимодействие	Interagieren
Список приемов	Liste der Movesets
Новая способность	Neue Fähigkeit
Ци-броня	Qi-Rüstung
Сфера Ци	Qi-Kugel
броня	Rüstung
щит	Schild
умение	Fähigkeit
капкан	Falle
ячейка здоровья	Gesundheitsfeld
макс. здоровье	max. Gesundheit
макс. ци	max. Qi
Повышение	Verbesserung
предмет	Gegenstand
цель	Ziel
Уровень пройден	Level bestanden
Ранг	Rang
Очки	Punktestand
Смертей	Todesfälle
Время	Zeit
Режим Лихорадка	Fieber-Modus
СТАНДАРТ	STANDARD
КИРА	KIRA
АКУМА	AKUMA
Выбор сложности	Schwierigkeitsgrad wählen
контрольная точка	Kontrollpunkt
статуя	Statue
змееныш	Schlangenjunge
змеюка	Schlangengesicht
змей	Schlange
ящерица	Eidechse
лис	Fuchs
лисёнок	Füchslein
Рыжий	Roter
хвостатый	Schwanzträger
