ru_term	target_term
Леон	Leon
Аки	Aki
Джо	Joe
Кадзуо	Kazuo
Рэй	Rei
Павваро	Pawwaro
Хитоши	Hitoshi
Токура	Tokura
Маста	Masta
Сэри-Молния	Seri-Lightning
Ямито Курогане	Yamito Kurogane
Кума	Kuma
Хадзуо	Hazuo
Мотоки	Motoki
Саки	Saki
Яэко	Yaeko
Цуру	Tsuru
Момо	Momo
Хару	Haru
Унаги	Unagi
Юсэи	Yusei
Кай-Стрелок	Kai
Дзюро	Juro
Тодзи	Toji
Кэн	Ken
Хина	Hina
Като	Kato
Рю	Ryu
Инара	Inara
Император	Emperor
Император Демонов	Demon Emperor
Пророк	Prophet
Лжепророк	False Prophet
Бог Смерти	God of Death
Демон Бесконечности	Demon of Infinity
Главный Надзиратель	Chief Warden
Чемпион арены	Arena Champion
Команда Нагато	Nagato's Team
Команда Кэнто	Kento's Team
Команда Икари	Ikari's Team
Третий патруль	Third Patrol
Дзинко	Jinko
китцуне	kitsune
Наги	Nagas
Нелюди	Non-human
Ёкаи	Yōkai
Инугами	Inugami
Тануки	tanuki
каппы	kappa
Иннуэ	Inu-e
Цутигумо	Tsuchigumo
Тэнгу	Tengu
Мертвяки	Deadheads
дохляки	deadheads
камикадзе	kamikaze
копейщик	spearman
Ао-шин	Ao-shin
ворон	raven
Холлспик	Hallspeak
Империя	Empire
Столица	capital
Рыбный тупик	Fish Alley
Нижний Город	Lower City
Императорские архивы	Imperial Archives
Чайный домик	tea house
Лавка "Тысяча мелочей"	Thousand Trinkets Shop
бани	bathhouse
Раменная	Ramen Shop
«Тысяча мелочей»	"Thousand Trinkets"
пристань	pier
Шахты Ивамото	Iwamoto Mines
Замок Ивамото	Iwamoto Castle
Сады замка	Castle Gardens
Коджо-13	Kojo-13
Отстойник	Dump
Угольные штольни	Coal Tunnels
Главный лифт	Main elevator
Технический лифт	Service elevator
Завод	Factory
храм Инары	Temple of Inara
храм Возвышения	Temple of Ascension
храм Бога Смерти	temple of the God of Death
зал молчания	silence room
верхняя часовня	upper chapel
главное святилище	main sanctuary
могильник	graveyard
Арена	Arena
казармы	barracks
нижние ярусы	lower levels
Особняк Масты	mansion
Великая война	Great War
Ци	Qi
мана	mana
чакра	chakra
авамори	awamori
ошейник	collar
колба	vial
Кибиши Фукку	Kibishi Fuku
Нефрит	Jade
нефритовые кости	jade dice
нефритовый угорь	jade eel
саке	sake
хинин	quinine
рамен	ramen
шиитаке	shiitake
гейша	geisha
кимоно	kimono
ритуальное масло	ritual oil
маска демона	demon mask
колокольчик	bell
священные колокола	sacred bells
ключ Главного Надзирателя	Chief Warden's key
ключ от лифта	elevator key
динамит	dynamite
детонатор	detonator
несущие колонны	support columns
Диспенсер ЦИ	Qi Dispenser
сосуд с концентрированной энергией ЦИ	vessel containing concentrated Qi energy
фигурка	figurine
зелье	potion
ритуал	ritual
печать	seal
паства	flock
Неофит	Neophyte
Месса	Mass
Монах	monk
культисты	cultists
сектанты	cult members
стража	guards
шахтеры	miners
пророчество	prophecy
предок	ancestor
мир духов	spirit world
барьер Ци	Qi barrier
Добивание	Finisher
Рывок	Dash
Двойной рывок	double dash
Прыжок	Jump
Прыжок от стены	Jump from the wall
Удар в прыжке	Jump Kick
Пинок	Heavy Kick
Атака	Attack
Лёгкий удар	Light Attack
Тяжёлый удар	Heavy Attack
Слабый удар	weak strike
сильный удар	heavy attack
Апперкот	Uppercut
Удар хвостом	Tail-cut
Бросок меча	Sword Throw
Отражение снаряда	Parry
Паррирование	Parry
Комбо	Combo
Сильное комбо	Heavy combo
Множитель комбо	combo counter
Электроудар	Electric Slam
Воздушный разрез	Air Slash
Ци-пистолет	Qi-pistol
Черная дыра	Black Hole
Падающее Небо	FALLING SKY
Точный удар	strike with precision
Заклинание	Spell
Особый	Special
Провокация	Taunt
Взаимодействие	Interact
Список приемов	Moveset list
Новая способность	New Ability
Ци-броня	Qi Armor
Сфера Ци	Qi Sphere
броня	armor
щит	shield
умение	ability
капкан	trap
ячейка здоровья	health cell
макс. здоровье	max HP
макс. ци	max QI
Повышение	Upgrade
предмет	item
цель	objective
Уровень пройден	Level Passed
Ранг	Rank
Очки	Scores
Смертей	Deaths
Время	Time
Режим Лихорадка	Fever Mode
СТАНДАРТ	STANDARD
КИРА	KIRA
АКУМА	AKUMA
Выбор сложности	Select difficulty
контрольная точка	control point
статуя	statue
змееныш	snake-boy
змеюка	snake-face
змей	snake
ящерица	lizard
лис	fox
лисёнок	little fox
Рыжий	Redhead
хвостатый	tailed one
хвостатая мразь	mangy tailed rat
лисий ублюдок	fox bastard
дзинково отродье	jinko spawn
нелюдь вшивый	mangy inhuman
мразь	scum
урод	freak
поехавший	headcase
Паук	Spider
Имперская шавка	imperial mongrel
недобиток	weakling
Хозяин	Master
Господин	Sir
братишка	brother
дитя	child
мелочь	little pest
пес	dog
зверь	beast
червяк	worm
Акито	Akito
Асуна	Asuna
Ичиро	Ichiro
мон	mon
Трущобы	Slums
