ru_term	target_term
Леон	Leon
Аки	Aki
Джо	Joe
Кадзуо	Kazuo
Рэй	Rei
Павваро	Pawwaro
Хитоши	Hitoshi
Токура	Tokura
Маста	Masta
Сэри-Молния	Seri-Lightning
Ямито Курогане	Kurogane Yamito
Кума	Kuma
Хадзуо	Hazuo
Мотоки	Motoki
Саки	Saki
Яэко	Yaeko
Цуру	Tsuru
Момо	Momo
Хару	Haru
Унаги	Unagi
Юсэи	Yusei
Кай-Стрелок	Kai-Tirador
Дзюро	Juro
Тодзи	Toji
Кэн	Ken
Хина	Hina
Като	Kato
Рю	Ryu
Инара	Inara
Император	Emperador
Император Демонов	Emperador Demonio
Пророк	Profeta
Лжепророк	Falso Profeta
Бог Смерти	Dios de la Muerte
Демон Бесконечности	Demonio del Infinito
Главный Надзиратель	jefe de guardias
Чемпион арены	Campeón de la arena
Команда Нагато	Equipo de Nagato
Команда Кэнто	Equipo de Kento
Команда Икари	Equipo de Ikari
Третий патруль	Tercera Patrulla
Дзинко	Jinko
китцуне	kitsune
Наги	Nagas
Нелюди	No-humanos
Ёкаи	Yōkai
Инугами	Inugami
Тануки	Tanuki
каппы	kappas
Иннуэ	Innue
Цутигумо	Tsuchigumo
Тэнгу	Tengu
Мертвяки	Los Deadheads
дохляки	cadáveres
камикадзе	kamikaze
копейщик	lancero
Ао-шин	Ao-shin
ворон	cuervo
Холлспик	mundo
Империя	Imperio
Столица	Capital
Рыбный тупик	Callejón del Pescado
Нижний Город	Ciudad Baja
Императорские архивы	Archivos Imperiales
Чайный домик	casa de té
Лавка "Тысяча мелочей"	Tienda "Mil baratijas"
бани	baños
Раменная	Ramen
«Тысяча мелочей»	«Mil baratijas»
пристань	muelle
Шахты Ивамото	Minas Iwamoto
Замок Ивамото	castillo de Iwamoto
Сады замка	Jardines del castillo
Коджо-13	Kojō-13
Отстойник	Vertedero
Угольные штольни	Galerías de carbón\n[ABANDONADO]
Главный лифт	Ascensor principal
Технический лифт	Ascensor de servicio
Завод	Fábrica
храм Инары	Templo de Inara
храм Возвышения	Templo de la Ascensión
храм Бога Смерти	Templo del Dios de la Muerte
зал молчания	sala del silencio
верхняя часовня	capilla superior
главное святилище	santuario principal
могильник	fosa común
Арена	Arena
казармы	barracones
нижние ярусы	niveles inferiores
Особняк Масты	Mansión de Masta
Великая война	Gran Guerra
Ци	Qi
мана	Qi
чакра	chakra
авамори	awamori
ошейник	collar
колба	vasija
Кибиши Фукку	Kibishi Fuku
Нефрит	¿Jade
нефритовые кости	huesos de jade
нефритовый угорь	anguila de jade
саке	sake
хинин	quinina
рамен	ramen
шиитаке	shiitake
гейша	geisha
кимоно	kimono
ритуальное масло	aceite ritual
маска демона	máscara de demonio
колокольчик	campanilla
священные колокола	campanas sagradas
ключ Главного Надзирателя	llave del jefe de guardias
ключ от лифта	llave del ascensor
динамит	dinamita
детонатор	detonador
несущие колонны	columnas de soporte
Диспенсер ЦИ	Dispensador de Qi
сосуд с концентрированной энергией ЦИ	vasija de Qi concentrado
фигурка	figurita
зелье	poción
ритуал	ritual
печать	sello
паства	rebaño
Неофит	Neófito
Месса	Misa
Монах	Monje
культисты	cultistas
сектанты	sectarios
стража	guardias
шахтеры	mineros
пророчество	profecía
предок	ancestro
мир духов	mundo de los espíritus
барьер Ци	barrera de Qi
Добивание	Finalizador
Рывок	Esquivar
Двойной рывок	Doble Esquivar
Прыжок	Saltar
Прыжок от стены	Salto de pared
Удар в прыжке	Ataque en salto
Пинок	Patada fuerte
Атака	Atacar
Лёгкий удар	Ataque ligero
Тяжёлый удар	Ataque pesado
Слабый удар	Ataque ligero
сильный удар	Ataque pesado
Апперкот	Uppercut
Удар хвостом	Corte con la cola
Бросок меча	Lanzar espada
Отражение снаряда	Parar
Паррирование	Parada
Комбо	Combo
Сильное комбо	Combo potente
Множитель комбо	Multiplicador de combo
Электроудар	Golpe eléctrico
Воздушный разрез	Corte aéreo
Ци-пистолет	Pistola de Qi
Черная дыра	Agujero negro
Падающее Небо	Cielo Caído
Точный удар	Disparo preciso
Заклинание	Hechizo
Особый	Especial
Провокация	Provocación
Взаимодействие	Interactuar
Список приемов	Lista de movimientos
Новая способность	Nueva habilidad
Ци-броня	Qi Armor
Сфера Ци	Qi Sphere
броня	armadura
щит	escudo
умение	habilidad
капкан	trampa
ячейка здоровья	segmento de salud
макс. здоровье	salud máx
макс. ци	Qi máx
Повышение	Subida
предмет	objeto
цель	objetivo
Уровень пройден	Nivel superado
Ранг	Clasificación
Очки	Puntuaciones
Смертей	Muertes
Время	Tiempo
Режим Лихорадка	Modo Fiebre
СТАНДАРТ	ESTÁNDAR
КИРА	KIRA
АКУМА	AKUMA
Выбор сложности	Selección de dificultad
контрольная точка	punto de control
статуя	estatua
змееныш	chico serpiente
змеюка	cara de serpiente
змей	serpiente
ящерица	lagarto
лис	zorro
лисёнок	zorrito
Рыжий	Pelirrojo
хвостатый	el colas
хвостатая мразь	rata sarnosa de cola larga
лисий ублюдок	zorro bastardo
дзинково отродье	engendro jinko
нелюдь вшивый	no-humano piojoso
мразь	escoria
урод	monstruo
поехавший	loco
Паук	Araña
Имперская шавка	perro faldero imperial
недобиток	superviviente
Хозяин	Amo
Господин	Señor
братишка	hermanito
дитя	niño
мелочь	enano
пес	PERRO
зверь	bestia
червяк	gusano
Акито	Akito
Асуна	Asuna
Ичиро	Ichiro
мон	mon
Трущобы	Barrios Bajos
