context	ru	de	en	es	fr	it	ja	ko	zh_Hans	zh_Hant
hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, steh auf. Wir sind schon da.	Leon, wake up. We're here.	Leon, levántate. Ya hemos llegado.	Leon, lève-toi. Nous sommes arrivés.	Leon, alzati. Siamo arrivati.	レオン、起きて。もう着いたよ。	레온, 일어나. 우리 벌써 도착했어.	莱昂，醒醒。我们到了。	雷恩，起來。我們到了。
hub1_first_1_2	Хорошо… Давно мы приехали?	Gut… Sind wir schon lange hier?	Alright… Have we been here long?	Bien… ¿Hace mucho que llegamos?	Bien… Nous sommes arrivés il y a longtemps ?	Va bene… È da tanto che siamo arrivati?	わかった… いつ着いたんだ？	좋아… 언제 도착했는데?	好吧……我们到多久了？	好…我們到了多久了？
hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Nicht lange. Du hast die ganze Fahrt verschlafen.	Not long. You slept the whole way.	Hace poco. Te has dormido todo el camino.	Non. Tu as dormi tout le long du trajet.	Non molto. Hai dormito per tutto il viaggio.	さっきだよ。君は道中ずっと寝てた。	방금. 너는 길 내내 잠만 잤어.	刚到。你一路都在睡。	沒多久。你一路都在睡。
hub1_first_1_4	Проспал очередные виды на ебеня?	Hab ich wieder die Aussicht auf die Scheißgegend verpennt?	Slept through another set of shitty views?	¿Me he perdido las vistas de la mierda de siempre?	J'ai raté d'autres paysages de merde ?	Mi sono perso l'ennesimo panorama di merda?	またクソみたいな景色を見逃したのかよ？	또 씨발 촌구석 풍경이나 놓친 거야?	又错过了什么鸟不拉屎的风景？	又錯過了那些鳥不生蛋的地方？
hub1_first_1_5	Даже не знаю, как я это переживу.	Ich weiß nicht mal, wie ich das überleben soll.	Don't know how I'm gonna survive that.	No sé cómo voy a superar esto.	Je ne sais même pas comment je vais m'en remettre.	Non so nemmeno come farò a superarla.	どうやって生き延びようか。	이걸 어떻게 견뎌야 할지 모르겠네.	真不知道我该怎么熬过去。	我不知道我該怎麼活下去。
hub1_first_1_6	Добро пожаловать в Столицу.	Willkommen in der Hauptstadt.	Welcome to the capital.	Bienvenidos a la Capital.	Bienvenue dans la Capitale	Benvenuti nella Capitale.	首都へようこそ。	수도에 온 걸 환영하네.	欢迎来到帝都。	歡迎來到首都。
hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Nun, oder in ihrem „besten“ Teil – der Fisch-Sackgasse.	Well, or its “best” part — Fish Alley.	Bueno, o a su «mejor» parte: el Callejón del Pescado.	Enfin, dans sa « meilleure » partie — le Cul-de-sac des Poissons.	Beh, o nella sua parte più «bella»: il Vicolo dei Pesci.	まあ、その『最高の』部分、魚の袋小路へ、ってところかな。	음, 아니면 수도에서 가장 '좋은' 곳인 어항 골목이라고 해야겠군.	嗯，或者说它最“棒”的部分——鱼肠巷。	嗯，或者說，是它「最好」的部分——魚巷。
hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Erst kürzlich erbaut, noch unter dem dritten Kaiser Akito.	Built recently, back under the third Emperor Akito.	Lo construyeron hace poco, durante el reinado del tercer emperador Akito.	Construit récemment, sous le troisième empereur Akito.	Costruito di recente, ancora sotto il terzo imperatore Akito.	最近できたんだ、まだ三代目皇帝アキトの時代にね。	아키토 3세 황제 때 지은 지 얼마 안 된 곳이지.	刚建好没多久，还是在第三代皇帝明人时期。	最近才建好的，在第三任皇帝明人時期。
hub1_first_1_9	Он опять завёл эту шарманку.	Er hat schon wieder diese Leier angefangen.	He's started that broken record again.	Ha vuelto a empezar con la misma cantinela.	Il a encore ressorti son vieux disque.	Ha ricominciato con la solita tiritera.	またあの歴史講座を始めやがった。	저 녀석 또 그 역사 이야기를 꺼내는군.	他又开始念经了。	他又開始講那些老掉牙的故事了。
hub1_first_1_10	Я чёт подустал от этих уроков истории.	Ich bin irgendwie müde von diesen Geschichtsstunden.	I'm kinda tired of these history lessons.	Estoy un poco harto de estas lecciones de historia.	J'en ai un peu marre de ces leçons d'histoire.	Sono un po' stanco di queste lezioni di storia.	この歴史の授業にはちょっと飽きてきたぜ。	이 역사 강의는 좀 지겹다.	我有点听腻这些历史课了。	我有點厭倦這些歷史課了。
