unit_id	context	ru_source	target
343176	hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, wake up. We're here.
343177	hub1_first_1_2	Хорошо… Давно мы приехали?	Alright… Have we been here long?
343178	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Not long. You slept the whole way.
343179	hub1_first_1_4	Проспал очередные виды на ебеня?	Slept through another set of shitty views?
343180	hub1_first_1_5	Даже не знаю, как я это переживу.	Don't know how I'm gonna survive that.
343181	hub1_first_1_6	Добро пожаловать в Столицу.	Welcome to the capital.
343182	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Well, or its “best” part — Fish Alley.
343183	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Built recently, back under the third Emperor Akito.
343184	hub1_first_1_9	Он опять завёл эту шарманку.	He's started that broken record again.
343185	hub1_first_1_10	Я чёт подустал от этих уроков истории.	I'm kinda tired of these history lessons.
343186	hub1_first_1_11	Все пауки такие?	All you Spiders like that?
343187	hub1_first_1_12	Хранители знаний, да	Keepers of knowledge, yes
343188	hub1_first_1_13	Скукота.	Boring
343189	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Very interesting. And thank you for the ride.
343190	hub1_first_1_15	Без проблем.	No problem
343191	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	Couldn't just pass you by, especially since you remind me of my nephews
343192	hub1_first_1_17	Только… с чешуей и шерстью.	Only… with scales and fur.
343193	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	Stop by my "Thousand Trinkets" sometime!
343194	hub1_first_1_19	Хорошо, спасибо!	Alright, thank you!
343195	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	I have my own business here. See you later
343196	hub1_first_1_21	А как мне тебя найти?	How am I gonna find you?
343197	hub1_first_1_22	Я тебя сам найду.	I'll find you myself.
343198	hub1_first_1_23	У меня от него чешуя дыбом стоит.	He makes my scales crawl.
343199	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	Seriously, Hazuo's his kin, but I don't feel that kinda fear around him.
343200	hub1_first_1_25	А я думал, вы лучшие подружки.	I thought you two were besties.
343201	hub1_first_1_26	Ха-ха. Что будем дальше делать?	Haha. What're we gonna do next?
343202	hub1_first_1_27	Кажется, я не ел целую вечность.	I ain't eaten in ages.
343203	hub1_first_1_28	Может, набьём животы?	How 'bout we fill our bellies?
343204	hub1_first_1_29	Можно.	We can.
343205	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	Whoa! This place is so… I don't know… BEAUTIFUL!
343206	hub1_overlook_1_2	Тут? Это же просто трущобы.	Here? This is just a slum.
343207	hub1_overlook_1_3	Я никогда не видел такого большого города!	I've never seen such a big city
343208	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	I think the capital itself will amaze you
343209	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	And they serve ramen right here. Let's go
343210	hub1_ramen_1_1	Это что за фигня?!	What the fuck is this?!
343211	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	It's ramen. You never tried it before?
343212	hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	Nah. They didn't make this in my village.
343213	hub1_ramen_1_4	А потом я ел только… с пола…	And after that, I only ate… off the floor…
343214	hub1_ramen_1_5	Ясно.	I see
343215	hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	Try it quickly. You'll like it.
343216	hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	FUCK. THAT'S. GOOD.
343217	hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	I always say. Eat ramen, and you'll BE HARD AS A ROCK!
343218	hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	SHUT UP, OLD MAN! Leave 'em alone!
343219	hub1_ramen_1_11	Да я ничего не делал!	But I ain't doin' nothin'!
343220	hub1_ramen_1_12	Вот и не делай!	Then don't!
343221	hub1_ramen_1_13	Нам нужно где-то остановиться.	We need somewhere to stay.
343222	hub1_ramen_1_14	Мне все равно!	I don't give a shit!
343223	hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	All I wanna know is who my sister was sold to!
343224	hub1_ramen_1_16	И как ты это сделаешь?	And how will you do that?
343225	hub1_ramen_1_17	Без понятия.	No fuckin' idea.
343226	hub1_ramen_1_18	Нам нужна комната на несколько дней.	We need a room for a few days.
343227	hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	Great! And I need lodgers!
343228	hub1_ramen_1_20	Ты подслушивал?	Were you eavesdropping?
343229	hub1_ramen_1_21	Так я всегда подслушиваю.	I always eavesdrop.
343230	hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	You can sleep in the back room behind the ramen shop.
343231	hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	Just so you know! All shiitake are accounted for.
343232	hub1_ramen_1_24	… что за нахрен шиитаке…	… what the fuck are shiitake…
343233	hub1_ramen_1_25	Мы бы с радостью у вас остановились.	We'd gladly stay with you.
343234	hub1_ramen_1_26	Но у нас совсем немного денег.	But we don't have much money.
343235	hub1_ramen_1_27	А мне и не нужны деньги.	I don't need money.
343236	hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	I'll try out new ramen recipes on ya! Deal?
343237	hub1_ramen_1_29	По рукам!	Deal!
343238	hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	We could use a guide for the city…
343239	hub1_ramen_1_31	Мы тут совсем не ориентируемся…	We're completely lost here…
343240	hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	None of our folk'll stick their nose out into the capital…
343241	hub1_ramen_1_33	Хотя, загляните в чайный домик.	Though, check out the tea house.
343242	hub1_ramen_1_34	Девочки госпожи Яэко частенько в городе бывают.	Lady Yaeko's girls are often in the city.
343243	hub1_ramen_1_35	Как их найти?	How do we find 'em?
343244	hub1_ramen_1_36	Вот тут у нас главное место Рыбного тупика - моя раменная!	Right here's the main spot in Fish Alley - my ramen shop!
343245	hub1_ramen_1_37	Но это вы и так знаете.	But you already know that.
343246	hub1_ramen_1_38	Пойдете вот сюда - окажетесь на пристани.	Go this way and you'll end up at the pier.
343247	hub1_ramen_1_39	Вот на этот корабль лучше не соваться.	Better not mess with that ship.
343248	hub1_ramen_1_40	Если конечно не хотите встретиться с морскими волками.	Unless you wanna meet some sea dogs, that is.
343249	hub1_ramen_1_41	Свернете сюда и окажетесь в банях, шикарное место для отдыха.	Turn here and you'll be at the bathhouse, a great place to relax.
343250	hub1_ramen_1_42	Тут будет лавка травника,	There'll be a herbalist's shop here,
343251	hub1_ramen_1_43	а тут барахолка.	and a junk shop here.
343252	hub1_ramen_1_44	А прямо над нами находится чайный домик.	And right above us is the tea house.
343253	hub1_ramen_1_45	Если запутаетесь, изучите нашу карту.	If you get lost, check our map.
343254	hub1_ramen_1_46	Ясно, погнали.	Got it, let's go.
343255	hub1_fisherman_quest_1_1	Вот что еще вспомнил…	Oh, I just remembered something else…
343256	hub1_fisherman_quest_1_2	Может сделаете для меня кое-чего, молодежь?	Maybe you young'uns can do somethin' for me?
343257	hub1_fisherman_quest_1_3	А то мне самому лень.	I'm too lazy to do it myself.
343258	hub1_fisherman_quest_1_4	Вам по пути!	It's on your way!
343259	hub1_fisherman_quest_1_5	Ладно, что нужно?	Alright, what do you need?
343260	hub1_fisherman_quest_1_6	Заберите у рыбака на пристани нефритового угря…	Get a jade eel from the fisherman at the pier…
343261	hub1_fisherman_quest_1_7	Приготовлю божественный рамен!	I'll make divine ramen!
343262	hub1_fisherman_quest_1_8	Всего-то? Да без проблем.	That's all? No problem.
343263	hub1_fisherman_quest_1_9	Сейчас вообще не до того, извини.	Got no time for that right now, sorry
343264	hub1_fisherman_quest_1_10	Эх, ладно. Выгуляю свои старые кости.	Ugh, fine. I'll walk my old bones myself
343265	hub1_teahouse_1_1	Ну и кто это у нас?	Well, who do we have here?
343266	hub1_teahouse_1_2	О-о-о… какой милый лисёнок.	Ooooh… what a cute little fox.
343267	hub1_teahouse_1_3	И симпатичный наг…	And a handsome Naga…
343268	hub1_teahouse_1_4	Даже не начинайте.	Don't even start.
343269	hub1_teahouse_1_5	А зачем тогда пришли?	Then why'd ya come here?
343270	hub1_teahouse_1_6	Чайный домик — не приют для бездомных.	A tea house ain't no shelter for the homeless.
343271	hub1_teahouse_1_7	Мне нужен сопровождающий в город.	I need an escort into the city.
343272	hub1_teahouse_1_8	ТЕБЕ?!	YOU?!
343273	hub1_teahouse_1_9	Сопровождающий для дзинко?!	An escort for a Jinko?!
343274	hub1_teahouse_1_10	Мальчик, половина Империи захочет сдать за награду раньше…	Boy, half the Empire'll wanna turn you in for a reward before…
343275	hub1_teahouse_1_11	Чем ты дойдёшь до соседней улицы.	You even make it to the next street.
343276	hub1_teahouse_1_12	Да понял я уже, хватит ржать.	Yeah, I get it, stop laughin'.
343277	hub1_teahouse_1_13	А куда тебе вообще надо?	Where do you even need to go?
343278	hub1_teahouse_1_14	Вообще… нам нужна информация о дзинко. Документы, отчеты…	Well… we need information about Jinko. Documents, reports…
343279	hub1_teahouse_1_15	Может подскажите, где ее можно найти?	Perhaps you could tell us where to find it?
343280	hub1_teahouse_1_16	Вам нужно в Архивы.	You need to go to the Archives.
