unit_id	context	ru_source	target
343572	hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, lève-toi. Nous sommes arrivés.
343573	hub1_first_1_2	Хорошо… Давно мы приехали?	Bien… Nous sommes arrivés il y a longtemps ?
343574	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Non. Tu as dormi tout le long du trajet.
343575	hub1_first_1_4	Проспал очередные виды на ебеня?	J'ai raté d'autres paysages de merde ?
343576	hub1_first_1_5	Даже не знаю, как я это переживу.	Je ne sais même pas comment je vais m'en remettre.
343577	hub1_first_1_6	Добро пожаловать в Столицу.	Bienvenue dans la Capitale
343578	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Enfin, dans sa « meilleure » partie — le Cul-de-sac des Poissons.
343579	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Construit récemment, sous le troisième empereur Akito.
343580	hub1_first_1_9	Он опять завёл эту шарманку.	Il a encore ressorti son vieux disque.
343581	hub1_first_1_10	Я чёт подустал от этих уроков истории.	J'en ai un peu marre de ces leçons d'histoire.
343582	hub1_first_1_11	Все пауки такие?	Tous les araignées sont comme ça ?
343583	hub1_first_1_12	Хранители знаний, да	Gardiens du savoir, oui
343584	hub1_first_1_13	Скукота.	Ennuyeux
343585	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Très intéressant. Et merci de nous avoir déposés.
343586	hub1_first_1_15	Без проблем.	Pas de problème
343587	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	Je ne pouvais pas vous laisser, d’autant plus que vous me rappelez mes neveux
343588	hub1_first_1_17	Только… с чешуей и шерстью.	Seulement… avec des écailles et de la fourrure.
343589	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	Passez me voir à la « Mille et une babioles » !
343590	hub1_first_1_19	Хорошо, спасибо!	D’accord, merci !
343591	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	J’ai mes propres affaires ici. On se voit plus tard
343592	hub1_first_1_21	А как мне тебя найти?	Et comment je te trouve, moi ?
343593	hub1_first_1_22	Я тебя сам найду.	Je te trouverai moi-même.
343594	hub1_first_1_23	У меня от него чешуя дыбом стоит.	Il me donne la chair de poule.
343595	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	Sérieusement, Hazuo est son frère, mais à côté de lui, je ne ressens pas une telle peur.
343596	hub1_first_1_25	А я думал, вы лучшие подружки.	Et moi qui pensais que vous étiez les meilleures amies du monde.
343597	hub1_first_1_26	Ха-ха. Что будем дальше делать?	Ha-ha. Qu'est-ce qu'on fait maintenant ?
343598	hub1_first_1_27	Кажется, я не ел целую вечность.	J'ai l'impression de n'avoir pas mangé depuis une éternité.
343599	hub1_first_1_28	Может, набьём животы?	Et si on se remplissait la panse ?
343600	hub1_first_1_29	Можно.	On peut.
343601	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	Oh ! Comme c'est… je ne sais pas… BEAU !
343602	hub1_overlook_1_2	Тут? Это же просто трущобы.	Ici ? Ce ne sont que des taudis.
343603	hub1_overlook_1_3	Я никогда не видел такого большого города!	Je n'ai jamais vu une ville aussi grande
343604	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	Je pense que la Capitale elle-même te surprendra
343605	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	Et ici, ils servent du ramen. Allons-y
343606	hub1_ramen_1_1	Это что за фигня?!	C'est quoi ce bordel ?!
343607	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	C'est du ramen. Tu n'en as jamais goûté, c'est ça ?
