ru_term	target_term
Леон	莱昂
Аки	阿基
Джо	乔
Кадзуо	和夫
Рэй	雷
Павваро	帕瓦罗
Хитоши	仁
Токура	托库拉
Маста	玛斯塔
Сэри-Молния	塞里·莱特宁
Ямито Курогане	库罗加内·亚米托
Кума	Kuma
Хадзуо	一夫
Мотоки	莫托基
Саки	咲
Яэко	八重子
Цуру	鹤
Момо	桃
Хару	春
Унаги	鳗鱼
Юсэи	优生
Кай-Стрелок	凯-神枪手
Дзюро	十郎
Тодзи	东司
Кэн	肯
Хина	希娜
Като	加藤
Рю	龙
Инара	因纳拉
Император	皇帝
Император Демонов	恶魔皇帝
Пророк	先知
Лжепророк	伪先知
Бог Смерти	死亡之神
Демон Бесконечности	无限恶魔
Главный Надзиратель	首席看守
Чемпион арены	竞技场冠军
Команда Нагато	长门组
Команда Кэнто	健人组
Команда Икари	伊卡里组
Третий патруль	第三巡逻队
Дзинко	忍狐
китцуне	忍狐
Наги	纳迦
Нелюди	非人
Ёкаи	妖怪
Инугами	犬神
Тануки	狸
каппы	河童
Иннуэ	犬神
Цутигумо	土蜘蛛
Тэнгу	天狗
Мертвяки	死头党
дохляки	死人
камикадзе	神风
копейщик	长枪兵
Ао-шин	青鳞
ворон	乌鸦
Холлспик	世界
Империя	帝国
Столица	帝都
Рыбный тупик	鱼肠巷
Нижний Город	下城区
Императорские архивы	帝国档案馆
Чайный домик	茶屋
Лавка "Тысяча мелочей"	“千奇百怪”杂货铺
бани	澡堂
Раменная	拉面摊
«Тысяча мелочей»	“千奇百怪”
пристань	码头
Шахты Ивамото	岩本矿场
Замок Ивамото	岩本城
Сады замка	城堡花园
Коджо-13	Kojo-13
Отстойник	废料坑
Угольные штольни	煤矿巷道\n[已废弃]
Главный лифт	主电梯
Технический лифт	货运电梯
Завод	工厂
храм Инары	因纳拉神庙
храм Возвышения	升华神殿
храм Бога Смерти	死神神殿
зал молчания	静默殿堂
верхняя часовня	上层礼拜堂
главное святилище	主殿
могильник	乱葬岗
Арена	竞技场
казармы	兵营
нижние ярусы	下层矿区
Особняк Масты	玛斯塔庄园
Великая война	大战
Ци	气
мана	气
чакра	查克拉
авамори	泡盛
ошейник	项圈
колба	培养皿
Кибиши Фукку	木屐师福库
Нефрит	玉？
нефритовые кости	玉骨骰子
нефритовый угорь	玉鳗
саке	清酒
хинин	奎宁
рамен	拉面
шиитаке	香菇
гейша	艺伎
кимоно	和服
ритуальное масло	仪式用油
маска демона	恶鬼面具
колокольчик	小铃铛
священные колокола	圣钟
ключ Главного Надзирателя	首席看守的钥匙
ключ от лифта	电梯钥匙
динамит	炸药
детонатор	起爆器
несущие колонны	承重柱
Диспенсер ЦИ	气力分配器
сосуд с концентрированной энергией ЦИ	浓缩气能量容器
фигурка	小雕像
зелье	药水
ритуал	仪式
печать	封印
паства	信众
Неофит	新信徒
Месса	弥撒
Монах	僧侣
культисты	邪教徒
сектанты	异教徒
стража	守卫
шахтеры	矿工
пророчество	预言
предок	先祖
мир духов	灵界
барьер Ци	气障
Добивание	终结技
Рывок	冲刺
Двойной рывок	二段冲刺
Прыжок	跳跃
Прыжок от стены	蹬墙跳
Удар в прыжке	空中攻击
Пинок	重踢
Атака	攻击
Лёгкий удар	轻攻击
Тяжёлый удар	重攻击
Слабый удар	轻攻击
сильный удар	重攻击
Апперкот	上勾拳
Удар хвостом	尾击
Бросок меча	投掷剑
Отражение снаряда	格挡
Паррирование	格挡
Комбо	连击：
Сильное комбо	重连击：
Множитель комбо	连击倍率
Электроудар	电击摔
Воздушный разрез	空中斩
Ци-пистолет	气枪
Черная дыра	黑洞
Падающее Небо	天坠之力
Точный удар	精准打击
Заклинание	法术
Особый	特殊技
Провокация	嘲讽
Взаимодействие	交互
Список приемов	招式列表
Новая способность	新技能
Ци-броня	气甲
Сфера Ци	气球
броня	护甲
щит	护盾
умение	技能
капкан	陷阱
ячейка здоровья	生命槽
макс. здоровье	最大生命值
макс. ци	最大气力
Повышение	提升
предмет	收集品
цель	目标
Уровень пройден	关卡已通关。
Ранг	排名：
Очки	分数：
Смертей	死亡次数：
Время	时间：
Режим Лихорадка	狂热模式
СТАНДАРТ	标准
КИРА	切腹
АКУМА	恶鬼
Выбор сложности	难度选择
контрольная точка	检查点
статуя	雕像
змееныш	蛇小子
змеюка	蛇脸
змей	蛇脸
ящерица	蜥蜴
лис	狐狸
лисёнок	小狐狸
Рыжий	红毛
хвостатый	长尾巴的
хвостатая мразь	肮脏的尾巴老鼠
лисий ублюдок	狐狸杂种
дзинково отродье	忍狐杂种
нелюдь вшивый	肮脏的非人
мразь	杂种
урод	怪胎
поехавший	疯子
Паук	蜘蛛
Имперская шавка	帝国走狗
недобиток	漏网之鱼
Хозяин	主人
Господин	长官
братишка	兄弟
дитя	孩子
мелочь	小不点
пес	狗
зверь	畜生
червяк	蠕虫
Акито	明人
Асуна	阿苏娜
Ичиро	一郎
мон	文
Трущобы	贫民窟
