ru_term	target_term
Леон	Leon
Аки	Aki
Джо	Joe
Кадзуо	Kazuo
Рэй	Rei
Павваро	Pawwaro
Хитоши	Hitoshi
Токура	Tokura
Маста	Masta
Сэри-Молния	Seri-Lightning
Ямито Курогане	Kurogane Yamito
Кума	Kuma
Хадзуо	Hazuo
Мотоки	Motoki
Саки	Saki
Яэко	Yaeko
Цуру	Tsuru
Момо	Momo
Хару	Haru
Унаги	Unagi
Юсэи	Yusei
Кай-Стрелок	Kai-Tiratore
Дзюро	Juro
Тодзи	Toji
Кэн	Ken
Хина	Hina
Като	Kato
Рю	Ryu
Инара	Inara
Император	Imperatore
Император Демонов	Imperatore dei Demoni
Пророк	Profeta
Лжепророк	Falso Profeta
Бог Смерти	Dio della Morte
Демон Бесконечности	Demone dell'Infinito
Главный Надзиратель	capo sorvegliante
Чемпион арены	Campione dell’Arena
Команда Нагато	Squadra di Nagato
Команда Кэнто	Squadra di Kento
Команда Икари	Squadra di Ikari
Третий патруль	Terza Pattuglia
Дзинко	Jinko
китцуне	kitsune
Наги	Naga
Нелюди	Non-umani
Ёкаи	Yokai
Инугами	Inugami
Тануки	Tanuki
каппы	kappa
Иннуэ	Inugami
Цутигумо	Tsuchigumo
Тэнгу	Tengu
Мертвяки	I Deadheads
дохляки	zombi
камикадзе	kamikaze
копейщик	Naginata
Ао-шин	Ao-shin
ворон	corvo
Холлспик	mondo
Империя	Impero
Столица	Capitale
Рыбный тупик	Vicolo dei Pesci
Нижний Город	Città Bassa
Императорские архивы	Archivi Imperiali
Чайный домик	casa da tè
Лавка "Тысяча мелочей"	Bottega "Mille Cose"
бани	bagni
Раменная	Ramen-ya
«Тысяча мелочей»	«Mille Cose»
пристань	molo
Шахты Ивамото	Miniere di Iwamoto
Замок Ивамото	Castello di Iwamoto
Сады замка	Giardini del Castello
Коджо-13	Kojo-13
Отстойник	Discarica
Угольные штольни	Gallerie del Carbone
Главный лифт	Ascensore principale
Технический лифт	Ascensore di servizio
Завод	Fabbrica
храм Инары	Tempio di Inara
храм Возвышения	tempio dell'Ascensione
храм Бога Смерти	tempio del Dio della Morte
зал молчания	sala del silenzio
верхняя часовня	cappella superiore
главное святилище	santuario principale
могильник	sepolcreto
Арена	Arena
казармы	caserme
нижние ярусы	livelli inferiori
Особняк Масты	Tenuta di Masta
Великая война	Grande Guerra
Ци	Qi
мана	Qi
чакра	chakra
авамори	awamori
ошейник	collare
колба	ampolla
Кибиши Фукку	Kibishi Fuku
Нефрит	Giada
нефритовые кости	ossa di giada
нефритовый угорь	anguilla di giada
саке	sake
хинин	chinino
рамен	ramen
шиитаке	shiitake
гейша	geisha
кимоно	kimono
ритуальное масло	olio rituale
маска демона	maschera del demone
колокольчик	campanellino
священные колокола	campane sacre
ключ Главного Надзирателя	chiave del Capo Guardiano
ключ от лифта	chiave dell'ascensore
динамит	dinamite
детонатор	detonatore
несущие колонны	colonne portanti
Диспенсер ЦИ	Dispenser Qi
сосуд с концентрированной энергией ЦИ	contenitore di energia Qi concentrata
фигурка	statuetta
зелье	pozione
ритуал	rituale
печать	sigillo
паства	gregge
Неофит	Neofita
Месса	Messa
Монах	Monaco
культисты	cultisti
сектанты	settari
стража	guardie
шахтеры	minatori
пророчество	profezia
предок	antenato
мир духов	mondo degli spiriti
барьер Ци	barriera Qi
Добивание	Finisher
Рывок	Scatto
Двойной рывок	Doppio scatto
Прыжок	Salto
Прыжок от стены	Salto dal muro
Удар в прыжке	Attacco in salto
Пинок	Calcio potente
Атака	Attacco
Лёгкий удар	Attacco leggero
Тяжёлый удар	Attacco pesante
Слабый удар	Attacco leggero
сильный удар	Attacco pesante
Апперкот	Uppercut
Удар хвостом	Colpo di coda
Бросок меча	Lancio della spada
Отражение снаряда	Parata
Паррирование	Parata
Комбо	Combo
Сильное комбо	Combo potente
Множитель комбо	Moltiplicatore combo
Электроудар	Slam elettrico
Воздушный разрез	Taglio aereo
Ци-пистолет	Pistola Qi
Черная дыра	Buco nero
Падающее Небо	Cielo Cadente
Точный удар	Colpo preciso
Заклинание	Magia
Особый	Speciale
Провокация	Sfida
Взаимодействие	Interagisci
Список приемов	Elenco delle mosse
Новая способность	Nuova abilità
Ци-броня	Qi Armor
Сфера Ци	Qi Sphere
броня	armatura
щит	scudo
умение	abilità
капкан	trappola
ячейка здоровья	barra della salute
макс. здоровье	salute max
макс. ци	Qi max
Повышение	Potenziamento
предмет	oggetto
цель	obiettivo
Уровень пройден	Livello superato
Ранг	Posizione in classifica
Очки	Punteggi
Смертей	Morti
Время	Tempo
Режим Лихорадка	Modalità Febbre
СТАНДАРТ	STANDARD
КИРА	KIRA
АКУМА	AKUMA
Выбор сложности	Selezione difficoltà
контрольная точка	checkpoint
статуя	statua
змееныш	ragazzo-serpente
змеюка	faccia da serpente
змей	serpente
ящерица	lucertola
лис	volpe
лисёнок	volpacchiotto
Рыжий	Rosso
хвостатый	codato
хвостатая мразь	ratto rognoso dalla coda lunga
лисий ублюдок	bastardo di volpe
дзинково отродье	progenie Jinko
нелюдь вшивый	non-umano pidocchioso
мразь	bastardo
урод	mostro
поехавший	fuori di testa
Паук	Ragno
Имперская шавка	cagnolino imperiale
недобиток	sopravvissuto
Хозяин	Padrone
Господин	Signore
братишка	fratello
дитя	figlio
мелочь	piccoletto
пес	CANE
зверь	bestia
червяк	verme
Акито	Akito
Асуна	Asuna
Ичиро	Ichiro
мон	mon
Трущобы	Bassifondi
