ru,en,tr,fr,note
ГИГАХРУЩ,Gigastructure,Gigastructure,Gigastructure,"Бесконечный техногенный комплекс, в котором происходит действие; центральный элемент сеттинга. Замер: 85 строк, «Gigastructure» 70 / капсом 22; в раннем прогоне встречались Gigakhrushch, Gigachrunch и ещё 26 написаний - допускается только это."
САМОСБОР,Samosbor,Samosbor,Samosbor,"Разрушительный феномен, давший имя игре; после него ликвидаторы идут на зачистку. Транслитерация во всех языках. Замер: 44 строки; во французском 14 раз «l'auto-assemblage» - это дефект, слово переводить нельзя."
Ликвидатор,Liquidator,Likidatör,Liquidateur,"Профессия и каста: устраняет последствия САМОСБОРА, носит корочку и огнемёт. Замер: 206 строк, во всех трёх языках вариант устойчив."
Ячейка,Cell,Hücre,Cellule,"Жилая единица Гигахруща, где живёт семья; из ячеек состоит блок. Замер: 77 строк; в турецком вместо «hücre» идут «daire» и «ev» - расхождение с глоссарием."
Блок,Block,Blok,Bloc,"Крупная жилая секция Гигахруща из ячеек, со своим номером (Г-Х3-22) и начальником ликвидационного корпуса. Замер: 92 строки."
Партия,Party,Parti,Parti,"Политическая партия, управляющая Гигахрущом; от её имени выдают награды и наказания. Всегда с заглавной. Замер: 129 строк, 12 раз строчными."
Комиссар,Commissar,Komiser,Commissaire,"Партийная должность с боевой подготовкой (техника Танцевалова). Заглавная в обращении. Замер: 64 строки, 18 раз строчными."
Старейшина,Elder,Bilge,Ancien,"Глава Общины Чистых, авторитет которого держится на Ритуале Очищения. Замер: 53 строки; турецкий - «Bilge» 30 раз, «Yaşlı» из ручного глоссария в корпусе не встречается."
Чистые,Pure,Safkanlar,Purs,"Религиозная фракция за пределами Партии: живёт в палатках у Костра, ведёт послушников к Истине. Всегда с заглавной, множественное. Замер: 100 строк, «the Pure» 58 / «Pure Ones» 17 - выбрать одно."
Община,Commune,Komünite,Commune,Поселение Чистых во главе со Старейшиной. Заглавная. Замер: 41 строка; в корпусе преобладают «community» и «communauté» - расхождение с глоссарием.
Плесень,Mold,Küf,Moisissure,"Разумная плесень, порождение Гигахруща; захватывает носителей. Замер: 77 строк."
Плесенка,Sporechild,Küfdoğan,,"Ласковое имя Плесени как персонажа - Святая у Чистых, сопровождаемая послушником. Отдельный термин от «Плесень»: замер 22 строки, «Sporechild» 15 против 5 ошибочных «Mold». Французского отдельного слова нет, в прогоне слилось с «moisissure» - требует решения переводчика."
Концентрат,Concentrate,Konsantre,Concentré,"Базовая еда Гигахруща, выдаётся по талонам; красный сорт - привилегия. Замер: 40 строк."
Пищконцентрат,Food concentrate,Gıda konsantresi,Concentré alimentaire,"Паёк из концентрата, им же кормят и в него перерабатывают. Замер: 16 строк."
Талон,Coupon,Fiş,Coupon,"Продуктовый талон, единица распределения (талон на красный концентрат). Замер: 11 строк, «coupon» 7 / «voucher» 1 / «ticket» 1."
Знамя,Banner,Bayrak,Bannière,"Знамя Хозяйства, которое несут на ЧЗХ по старшинству; право нести его снимают за баллы. Замер: 37 строк, «flag» 2."
Гермодверь,Airtight door,Hava geçirmez kapı,Porte étanche,Герметичная дверь ячейки или блока; в источнике есть варианты «гермошлюз» и «гермоячейка». Замер: 22 строки; во французском 9 раз «porte blindée» - расхождение с глоссарием.
НИИ,Research institute,Araştırma Enstitüsü,Institut de recherche,"Научно-исследовательский институт Гигахруща: изучает слизь, сущности, строит ГРАВИЖЕРНОВ. Раскрывается полностью, аббревиатура не переносится. Замер: 50 строк."
ЧЗХ,WTF,AMK,PTN,"Аббревиатура праздника «Чествование Знамён Хозяйств», созвучная ругательству; в каждом языке подобран свой созвучный акроним. Замер: 11 строк, во всех en - «WTF»."
Чествование Знамён Хозяйств,Work Tough Fest,Aşırı Mesai Kutlamaları,,"Государственный праздник с парадом знамён; название подобрано так, чтобы аббревиатура читалась как ругательство. Французский вариант обязан раскрываться в «PTN» - в прогоне вышла описательная «cérémonie ... des drapeaux», акроним потерян."
Аристарх,Aristarkh,Aristarkh,Aristarkh,"Имя персонажа (Аристарх Бетонович). Транслитерация, не локализуется. Замер: 31 строка."
Бетонович,Betonovich,Betonovich,Betonovich,"Говорящее отчество (от «бетон») персонажа Аристарха. Транслитерация: шутка теряется, но имя остаётся узнаваемым. Замер: 28 строк."
Бомж,Homeless,Evsiz,Sans-abri,"Житель нижних уровней без ячейки; сюжетно запирается в продхранилище. Замер: 34 строки, «homeless» 27 / «bum» 3; во французском «sans-abri» 17 / «clochard» 14 - выбрать одно."
Игорь,Igor,Igor,Igor,"Имя персонажа-ликвидатора. Не путать с «Игор» - послушником Чистых: в источнике это разные люди, различие только в мягком знаке."
Максим,Maxim,Maxim,Maxim,Имя персонажа; короткая форма «Макс» передаётся как «Max». Замер: 51 строка.
Настя,Nastya,Nastya,Nastya,Имя главной героини; уменьшительное «Настенька» передаётся тем же именем. Замер: 233 строки.
Паша,Pasha,Pasha,Pasha,Имя персонажа; «Пашка» - то же имя. Замер: 33 строки; во французском 10 раз «Pacha» - расхождение.
Петрович,Petrovich,Petrovich,Petrovich,Отчество-обращение к преподавателю ликвидаторов. Французское «-itch» не используется: в прогоне 36 раз «Petrovitch» против 21 «Petrovich».
Петя,Petya,Petya,Petya,"Имя персонажа (Петя Сидоров). Замер: 37 строк, дважды ошибочно «Peter»."
Юля,Yulia,Yulia,Yulia,"Имя персонажа; «Юлька», «Юлия» - то же лицо. Замер: 106 строк."
ЭВМ,Computer,Bilgisayar,Ordinateur,"Ретро-компьютер НИИ, на котором отделяют сущность от субъекта. Аббревиатура не переносится в перевод. Замер: 5 строк."
Чернобог,Chernobog,Chernobog,Chernobog,"Тёмное божество городского фольклора Гигахруща; ругательство «Чернобог побери». Имя собственное, транслитерируется и не заменяется нейтральным проклятием. Замер: 8 строк, в одной имя выброшено и заменено на «Damn it»."
Мясной Поезд,Meat Train,Et Treni,Train de la Viande,"Городская легенда Гигахруща: поезд из мяса, который можно вызвать. Оба слова с заглавной, даже когда в источнике строчная. Замер: 13 строк, 11 «Meat Train» против 3 «meat train»."
Поезд,Train,Tren,Train,"Тот же Мясной Поезд, названный одним словом. Заглавная, когда речь о легенде, строчная - только о настоящем транспорте. Замер: 23 строки, 13 «Train» против 12 «train»."
Хриплый,Rasp,Boğuk,,"Кличка ликвидатора по голосу, действующее лицо. Переводится как кличка, а не как описание голоса. Замер: 24 строки, 17 «Rasp» против 7 «hoarse»; в турецком кличка потеряна целиком - «yüzünde sıyrıklar olan bir adam» (человек со ссадинами на лице)."
Костёр,Bonfire,Ateş,feu de joie,"Ритуальный огонь общины Чистых, вокруг которого стоит лагерь; метафора Веры («Истинную Веру надо поддерживать, как Костёр»). Один рендеринг на все упоминания. Замер: 33 строки, «bonfire» 11 / «fire» 10 / «flame» 5."
