ru_term	target_term
Леон	Leon
Аки	Aki
Джо	Joe
Кадзуо	Kazuo
Рэй	Rei
Павваро	Pawwaro
Хитоши	Hitoshi
Токура	Tokura
Маста	Masta
Сэри-Молния	Seri-Lightning
Ямито Курогане	Kurogane Yamito
Кума	Kuma
Хадзуо	Hazuo
Мотоки	Motoki
Саки	Saki
Яэко	Yaeko
Цуру	Tsuru
Момо	Momo
Хару	Haru
Унаги	Unagi
Юсэи	Yusei
Кай-Стрелок	Kai-Tireur
Дзюро	Juro
Тодзи	Toji
Кэн	Ken
Хина	Hina
Като	Kato
Рю	Ryu
Инара	Inara
Император	Empereur
Император Демонов	Empereur des Démons
Пророк	Prophète
Лжепророк	Faux Prophète
Бог Смерти	Dieu de la Mort
Демон Бесконечности	Démon de l'Infini
Главный Надзиратель	chef des gardiens
Чемпион арены	Champion de l’arène
Команда Нагато	Équipe de Nagato
Команда Кэнто	Équipe de Kento
Команда Икари	Équipe d'Ikari
Третий патруль	Troisième Patrouille
Дзинко	Jinko
китцуне	Kitsune
Наги	Nagas
Нелюди	Non-humains
Ёкаи	Yōkai
Инугами	Inugami
Тануки	Tanuki
каппы	Kappas
Иннуэ	Innue
Цутигумо	Tsuchigumo
Тэнгу	Tengu
Мертвяки	Deadheads
дохляки	zombies
камикадзе	Kamikaze
копейщик	lancier
Ао-шин	Ao-shin
ворон	corbeau
Холлспик	monde
Империя	Empire
Столица	Capitale
Рыбный тупик	Cul-de-sac des Poissons
Нижний Город	Ville Basse
Императорские архивы	Archives Impériales
Чайный домик	maison de thé
Лавка "Тысяча мелочей"	Boutique « Mille et une babioles »
бани	bains
Раменная	Ramen-ya
«Тысяча мелочей»	« Mille et une babioles »
пристань	Quai
Шахты Ивамото	Mines d'Iwamoto
Замок Ивамото	château d'Iwamoto
Сады замка	Jardins du château
Коджо-13	Kojo-13
Отстойник	Bassin de décantation
Угольные штольни	Galeries de charbon
Главный лифт	Ascenseur principal
Технический лифт	Ascenseur de service
Завод	Usine
храм Инары	Temple d'Inara
храм Возвышения	Temple de l'Ascension
храм Бога Смерти	temple du Dieu de la Mort
зал молчания	salle du silence
верхняя часовня	chapelle haute
главное святилище	sanctuaire principal
могильник	charnier
Арена	Arène
казармы	casernes
нижние ярусы	niveaux inférieurs
Особняк Масты	Manoir de Masta
Великая война	Grande Guerre
Ци	Qi
мана	Qi
чакра	chakra
авамори	awamori
ошейник	collier
колба	fiole
Кибиши Фукку	Kibishi Fuku
Нефрит	Jade
нефритовые кости	os de jade
нефритовый угорь	anguille de jade
саке	saké
хинин	quinine
рамен	ramen
шиитаке	shiitake
гейша	geisha
кимоно	kimono
ритуальное масло	huile rituelle
маска демона	masque de démon
колокольчик	clochette
священные колокола	cloches sacrées
ключ Главного Надзирателя	clé du chef des gardiens
ключ от лифта	clé de l'ascenseur
динамит	dynamite
детонатор	détonateur
несущие колонны	piliers porteurs
Диспенсер ЦИ	Distributeur de Qi
сосуд с концентрированной энергией ЦИ	récipient d'énergie Qi concentrée
фигурка	figurine
зелье	potion
ритуал	rituel
печать	sceau
паства	fidèles
Неофит	Néophyte
Месса	Messe
Монах	Moine
культисты	cultistes
сектанты	sectaires
стража	garde
шахтеры	mineurs
пророчество	prophétie
предок	ancêtre
мир духов	monde des esprits
барьер Ци	barrière Qi
Добивание	Finisseur
Рывок	Dash
Двойной рывок	Double Dash
Прыжок	Sauter
Прыжок от стены	Saut mural
Удар в прыжке	Attaque sautée
Пинок	Coup de pied puissant
Атака	Attaquer
Лёгкий удар	Attaque légère
Тяжёлый удар	Attaque lourde
Слабый удар	Attaque légère
сильный удар	attaque puissante
Апперкот	Uppercut
Удар хвостом	Coup de queue
Бросок меча	Lancer l'épée
Отражение снаряда	Parer
Паррирование	Parade
Комбо	Combo
Сильное комбо	Combo puissant
Множитель комбо	Multiplicateur de combo
Электроудар	Slam électrique
Воздушный разрез	Coup dans les airs
Ци-пистолет	Pistolet Qi
Черная дыра	Trou noir
Падающее Небо	Ciel Tombant
Точный удар	Frappe précise
Заклинание	Sort
Особый	Spécial
Провокация	Provocation
Взаимодействие	Interagir
Список приемов	Liste des coups
Новая способность	Nouvelle capacité
Ци-броня	Qi Armor
Сфера Ци	Qi Sphere
броня	armure
щит	bouclier
умение	compétence
капкан	piège
ячейка здоровья	segment de vie
макс. здоровье	vie max
макс. ци	Qi max
Повышение	Amélioration
предмет	objet
цель	objectif
Уровень пройден	Niveau terminé
Ранг	Classement
Очки	Scores
Смертей	Décès
Время	Temps
Режим Лихорадка	Mode Fièvre
СТАНДАРТ	STANDARD
КИРА	KIRA
АКУМА	AKUMA
Выбор сложности	Sélection difficulté
контрольная точка	point de contrôle
статуя	statue
змееныш	Snake-Boy
змеюка	snake-face
змей	serpent
ящерица	lézard
лис	renard
лисёнок	petit renard
Рыжий	Roux
хвостатый	le queue-de-pie
хвостатая мразь	rat à la queue galeuse
лисий ублюдок	sale renard
дзинково отродье	engeance Jinko
нелюдь вшивый	non-humain pouilleux
мразь	ordure
урод	monstre
поехавший	fou
Паук	Araignée
Имперская шавка	Chien de l'Empire
недобиток	survivant
Хозяин	Maître
Господин	Monsieur
братишка	frérot
дитя	enfant
мелочь	minus
пес	CHIEN
зверь	bête
червяк	ver
Акито	Akito
Асуна	Asuna
Ичиро	Ichiro
мон	mon
Трущобы	Bas-Fonds
