unit_id	context	ru_source	target
371602	hub1_first_1_1	Леон, вставай. Мы уже приехали.	莱昂，醒醒。我们到了。
371603	hub1_first_1_2	Хорошо… Давно мы приехали?	好吧……我们到多久了？
371604	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	刚到。你一路都在睡。
371605	hub1_first_1_4	Проспал очередные виды на ебеня?	又错过了什么鸟不拉屎的风景？
371606	hub1_first_1_5	Даже не знаю, как я это переживу.	真不知道我该怎么熬过去。
371607	hub1_first_1_6	Добро пожаловать в Столицу.	欢迎来到帝都。
371608	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	嗯，或者说它最“棒”的部分——鱼肠巷。
371609	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	刚建好没多久，还是在第三代皇帝明人时期。
371610	hub1_first_1_9	Он опять завёл эту шарманку.	他又开始念经了。
371611	hub1_first_1_10	Я чёт подустал от этих уроков истории.	我有点听腻这些历史课了。
371612	hub1_first_1_11	Все пауки такие?	所有蜘蛛都这样吗？
371613	hub1_first_1_12	Хранители знаний, да	知识的守护者，没错。
371614	hub1_first_1_13	Скукота.	无聊。
371615	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	非常有趣。还有，谢谢你们捎我们一程。
371616	hub1_first_1_15	Без проблем.	不客气。
371617	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	我实在没法对你们视而不见，更何况你们让我想起了我的侄子们。
371618	hub1_first_1_17	Только… с чешуей и шерстью.	只不过……带着鳞片和皮毛。
371619	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	有空来我的“千奇百怪”杂货铺坐坐！
371620	hub1_first_1_19	Хорошо, спасибо!	好的，谢谢！
371621	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	我在这里还有些事要办。我们晚点见。
371622	hub1_first_1_21	А как мне тебя найти?	那我怎么找你？
371623	hub1_first_1_22	Я тебя сам найду.	我会自己找到你的。
371624	hub1_first_1_23	У меня от него чешуя дыбом стоит.	他让我鳞片都竖起来了。
