unit_id	context	ru_source	target
346263	hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, levántate. Ya hemos llegado.
346264	hub1_first_1_2	Хорошо… Давно мы приехали?	Bien… ¿Hace mucho que llegamos?
346265	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Hace poco. Te has dormido todo el camino.
346266	hub1_first_1_4	Проспал очередные виды на ебеня?	¿Me he perdido las vistas de la mierda de siempre?
346267	hub1_first_1_5	Даже не знаю, как я это переживу.	No sé cómo voy a superar esto.
346268	hub1_first_1_6	Добро пожаловать в Столицу.	Bienvenidos a la Capital.
346269	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Bueno, o a su «mejor» parte: el Callejón del Pescado.
346270	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Lo construyeron hace poco, durante el reinado del tercer emperador Akito.
346271	hub1_first_1_9	Он опять завёл эту шарманку.	Ha vuelto a empezar con la misma cantinela.
346272	hub1_first_1_10	Я чёт подустал от этих уроков истории.	Estoy un poco harto de estas lecciones de historia.
346273	hub1_first_1_11	Все пауки такие?	¿Todos los arañas son así?
346274	hub1_first_1_12	Хранители знаний, да	Guardianes del saber, sí
346275	hub1_first_1_13	Скукота.	Qué aburrimiento.
346276	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Muy interesante. Y gracias por traernos.
346277	hub1_first_1_15	Без проблем.	De nada.
346278	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	No podía pasar de largo, y más cuando me recordáis a mis sobrinos.
346279	hub1_first_1_17	Только… с чешуей и шерстью.	Solo que… con escamas y pelo.
346280	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	¡Pasaos por mi «Mil baratijas»!
346281	hub1_first_1_19	Хорошо, спасибо!	¡De acuerdo, gracias!
346282	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	Tengo mis propios asuntos aquí. Nos vemos luego
346283	hub1_first_1_21	А как мне тебя найти?	¿Y cómo te encuentro?
346284	hub1_first_1_22	Я тебя сам найду.	Yo te encontraré.
346285	hub1_first_1_23	У меня от него чешуя дыбом стоит.	Se me erizan las escamas con él.
346286	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	En serio, Hazuo es su hermano, pero a su lado no siento tanto miedo.
346287	hub1_first_1_25	А я думал, вы лучшие подружки.	Y yo que pensaba que erais las mejores amigas.
346288	hub1_first_1_26	Ха-ха. Что будем дальше делать?	Ja, ja. ¿Qué hacemos ahora?
346289	hub1_first_1_27	Кажется, я не ел целую вечность.	Creo que no he comido en siglos.
