ru_term	target_term
Леон	雷恩
Аки	亞希
Джо	喬
Кадзуо	和夫
Рэй	雷伊
Павваро	帕瓦羅
Хитоши	仁
Токура	十倉
Маста	馬斯塔
Сэри-Молния	塞莉·閃電
Ямито Курогане	庫羅加內·亞米托
Кума	Kuma
Хадзуо	葉月
Мотоки	元木
Саки	咲
Яэко	八重子
Цуру	鶴
Момо	桃
Хару	春
Унаги	鰻
Юсэи	悠星
Кай-Стрелок	凱·射手
Дзюро	十郎
Тодзи	東司
Кэн	肯
Хина	希娜
Като	加藤
Рю	龍
Инара	伊納拉
Император	皇帝
Император Демонов	惡魔皇帝
Пророк	先知
Лжепророк	偽先知
Бог Смерти	死神
Демон Бесконечности	無限惡魔
Главный Надзиратель	總監
Чемпион арены	競技場冠軍
Команда Нагато	長門組
Команда Кэнто	健人組
Команда Икари	碇組
Третий патруль	第三巡邏隊
Дзинко	忍狐
китцуне	狐妖
Наги	那伽
Нелюди	非人
Ёкаи	妖怪
Инугами	犬神
Тануки	狸貓
каппы	河童
Иннуэ	犬江
Цутигумо	土蜘蛛
Тэнгу	天狗
Мертвяки	行屍
дохляки	死鬼
камикадзе	神風
копейщик	長柄刀兵
Ао-шин	青鱗
ворон	烏鴉
Холлспик	世界
Империя	帝國
Столица	首都
Рыбный тупик	魚巷
Нижний Город	下城區
Императорские архивы	帝國檔案館
Чайный домик	茶館
Лавка "Тысяча мелочей"	「千種雜貨」鋪
бани	澡堂
Раменная	拉麵店
«Тысяча мелочей»	「千種雜貨」
пристань	碼頭
Шахты Ивамото	岩本礦場
Замок Ивамото	岩本城
Сады замка	城堡花園
Коджо-13	Kojō-13
Отстойник	廢料坑
Угольные штольни	煤礦坑道\n[已廢棄]
Главный лифт	主電梯
Технический лифт	貨運電梯
Завод	工廠
храм Инары	伊納拉神殿
храм Возвышения	昇華神殿
храм Бога Смерти	死神殿
зал молчания	寂靜之廳
верхняя часовня	上層禮拜堂
главное святилище	主聖殿
могильник	墓地
Арена	競技場
казармы	兵營
нижние ярусы	下層礦區
Особняк Масты	馬斯塔宅邸
Великая война	大戰
Ци	氣
мана	氣
чакра	脈輪
авамори	泡盛
ошейник	項圈
колба	燒瓶
Кибиши Фукку	木棉福庫
Нефрит	玉？
нефритовые кости	玉骨
нефритовый угорь	玉鰻
саке	清酒
хинин	奎寧
рамен	拉麵
шиитаке	香菇
гейша	藝伎
кимоно	和服
ритуальное масло	儀式用油
маска демона	惡魔面具
колокольчик	小鈴鐺
священные колокола	聖鐘
ключ Главного Надзирателя	總監的鑰匙
ключ от лифта	電梯鑰匙
динамит	炸藥
детонатор	引爆器
несущие колонны	承重柱
Диспенсер ЦИ	氣體分配器
сосуд с концентрированной энергией ЦИ	濃縮氣體能量容器
фигурка	雕像
зелье	藥水
ритуал	儀式
печать	封印
паства	信徒
Неофит	新手
Месса	彌撒
Монах	僧侶
культисты	邪教徒
сектанты	異教徒
стража	守衛
шахтеры	礦工
пророчество	預言
предок	祖先
мир духов	靈魂世界
барьер Ци	氣障
Добивание	終結技
Рывок	衝刺
Двойной рывок	二段衝刺
Прыжок	跳躍
Прыжок от стены	蹬牆跳
Удар в прыжке	跳躍攻擊
Пинок	重踢
Атака	攻擊
Лёгкий удар	輕攻擊
Тяжёлый удар	重攻擊
Слабый удар	輕攻擊
сильный удар	重攻擊
Апперкот	上勾拳
Удар хвостом	尾部斬擊
Бросок меча	投擲長劍
Отражение снаряда	格擋
Паррирование	格擋
Комбо	連擊：
Сильное комбо	重連擊：
Множитель комбо	連擊倍率
Электроудар	電擊摔
Воздушный разрез	空中斬擊
Ци-пистолет	氣槍
Черная дыра	黑洞
Падающее Небо	落天
Точный удар	精準打擊
Заклинание	法術
Особый	特殊技
Провокация	嘲諷
Взаимодействие	互動
Список приемов	招式列表
Новая способность	新能力
Ци-броня	氣甲
Сфера Ци	氣球
броня	氣甲
щит	氣甲
умение	能力
капкан	陷阱
ячейка здоровья	生命格
макс. здоровье	最大生命值
макс. ци	最大氣
Повышение	提升
предмет	物品
цель	目標
Уровень пройден	關卡已通關。
Ранг	排名：
Очки	分數：
Смертей	死亡次數：
Время	時間：
Режим Лихорадка	狂熱模式
СТАНДАРТ	標準
КИРА	鬼羅
АКУМА	惡魔
Выбор сложности	選擇難度
контрольная точка	檢查點
статуя	雕像
змееныш	蛇小子
змеюка	蛇臉
змей	蛇
ящерица	蜥蜴
лис	狐狸
лисёнок	小狐狸
Рыжий	紅毛
хвостатый	長尾巴的
хвостатая мразь	膩人的尾巴老鼠
лисий ублюдок	狐狸混蛋
дзинково отродье	忍狐孽種
нелюдь вшивый	臭非人
мразь	人渣
урод	怪胎
поехавший	瘋子
Паук	蜘蛛
Имперская шавка	帝國走狗
недобиток	漏網之魚
Хозяин	主人
Господин	大人
братишка	兄弟
дитя	孩子
мелочь	小不點
пес	狗
зверь	野獸
червяк	蟲子
Акито	明人
Асуна	明日菜
Ичиро	一郎
мон	文
Трущобы	貧民窟
