ru,en,fr,it,de,ja,ko,pt-PT,zh-CN,zh-TW,es,notes
Леон,Leon,,,,レオン,,,,,,"Имя собственное, мужской род, одушевлённое. Главный герой игры, дзинко (полу-человек полу-лис), сбежавший раб. Речь грубая, много мата и просторечия - сохранять сниженный регистр. Транслитерировать, не переводить по смыслу. Канон: Leon / レオン. Досье из листа Terms: Леон - дзинко, главный герой игры. Еще в детстве его доставили в Империю Людей вместе с другими дзинко для священного ритуала. Однако он оказался ""лишним"" в партии, и поэтому его хотели пустить на эксперименты. Однако Маста - брат Императора - забрал дзинко, чтобы тот был забавой для его детей. Фактически он спас Леона от участи провести всю жизнь в колбе сделав его своим рабом. Долгое время Леон провел в оковах, пока не вырвался на свободу с помощью Джо. Теперь он готов найти свою сестру Аки и освободить оставшихся дзинко."
Аки,Aki,,,,アキ,,,,,,"Имя собственное, женский род, одушевлённое. Сестра Леона, китцуне; к моменту событий мертва. Транслитерировать. В языках с родом согласовывать по женскому роду. Досье из листа Terms: Аки - китцуне, сестра Леона, которую он будет стремится найти на протяжении всей игры. Большую часть игры ее местоположение - неизвестно, но она мертва. Ее дух заключен в механическом сердце Токуры."
Джо,Joe,,,,ジョエ,,,,,,"Имя собственное, мужской род, одушевлённое. Демонический паук-ёкай, спутник Леона; говорит вкрадчиво и книжно, в отличие от Леона - без мата. Леон зовёт его Паук / чудила. Транслитерировать. Досье из листа Terms: Демонический паук, ёкай, который и помогает Леону сбежать из поместья Масты. Большую часть истории он будет верным помощником Леона, чтобы в конце показать свою демоническую сущность. Использует Леона в своем плане как инструмент, мастерски играя на его чувствах."
Рей,Rei,,,,レイ,,,,,,"Имя собственное, мужской род, одушевлённое. Нага, врачеватель, спутник Леона; вежливая мягкая речь без мата - контраст с Леоном. Транслитерировать. РАЗНОЧТЕНИЕ В ИСХОДНИКЕ: Рей и Рэй в русском, Rei и Ray в латинице. Переводить единообразно, канон - Rei. Досье из листа Terms: Рей - нага, помощник Леона на всем его пути. До того, как его забрали в шахты рабом (где он и встретил Леона), Рей был травником в деревне людей. Несмотря на все притеснения он продолжает верить в людей, т.к. в его жизни было много примеров, когда люди относились к нему как к равному. В шахтах продолжает помогать всем окружающим, лечить их и поддерживать. Он хотел бы обойтись без убийств, но понимает, что иногда это невозможно."
Павваро,Pavvaro,,,,パッバロ,,,,,,"Имя собственное, мужской род. Серый кардинал Империи, старый самурай, командует штурмом храма; говорит приказами, отрывисто. Транслитерировать. РАЗНОЧТЕНИЕ: Pavvaro и Pawwaro; канон - Pavvaro. Досье из листа Terms: Серый кардинал Империи. Человек, который контролирует производство оружия из маны и ее использование. Он управляет Заводом, где из дзинко добывают ману. Старый и мудрый самурай, чьи золотые годы уже давно позади, и только большие вливания маны поддерживают в нем жизнь."
Маста,Masta,,,,マスタ,,,,,,"Имя собственное, мужской род. Брат Императора, хозяин поместья, где Леона держали на цепи. Употребляется как «семья Маста», «поместье Масты», к нему же обращаются «хозяин». Транслитерировать: Masta / マスタ. Не переводить как master - это имя, а не должность, хотя в тексте оно намеренно рифмуется с обращением «хозяин»."
Юсэи,Yusei,,,,,,,,,,"Имя собственное, мужской род. Деревенский мальчик, которому монах предсказал, что он погубит тысячи; стал Богом Смерти и Светочем культа. Транслитерировать. РАЗНОЧТЕНИЕ: Yusei и Yusai; канон - Yusei."
Кай,Kai,,,,,,,,,,"Имя собственное, мужской род. Дух предка Леона, в одиночку разрушивший имперскую заставу; учит точному удару. Говорит сухо, с сарказмом. Транслитерировать."
Дзюро,Juro,,,,,,,,,,"Имя собственное, мужской род. Лучший воин Павваро, гибнет под обломками в храме. Транслитерировать."
Рю,Ryu,,,,,,,,,,"Имя собственное, мужской род. Имперский солдат при штурме храма, к нему обращается напарник. Транслитерировать."
