ru_term	target_term
Леон	レオン
Аки	アキ
Джо	ジョエ
Кадзуо	イワモト カズオ
Рэй	レイ
Павваро	パッバロ
Хитоши	ヒトシ
Токура	トクラ
Маста	マスタ
Сэри-Молния	セリ・ライトニング
Ямито Курогане	ヤミト・クロガネ
Кума	Kuma
Хадзуо	ハズオ
Мотоки	モトキ
Саки	サキ
Яэко	ヤエコ
Цуру	ツル
Момо	モモ
Хару	ハル
Унаги	ウナギ
Юсэи	ユセイ
Кай-Стрелок	カイ・シューター
Дзюро	ジュウロウ
Тодзи	トージ
Кэн	ケン
Хина	ヒナ
Като	加藤
Рю	リュウ
Инара	インナラ
Император	皇帝
Император Демонов	悪魔の皇帝
Пророк	預言者
Лжепророк	偽預言者
Бог Смерти	死神
Демон Бесконечности	無限の悪魔
Главный Надзиратель	看守長
Чемпион арены	アリーナチャンピオン
Команда Нагато	長門チーム
Команда Кэнто	健人チーム
Команда Икари	イカリチーム
Третий патруль	第3パトロール
Дзинко	忍狐
китцуне	キツネ
Наги	ナーガ
Нелюди	非人
Ёкаи	妖怪
Инугами	イヌガミ
Тануки	タヌキ
каппы	河童
Иннуэ	犬江
Цутигумо	ツチグモ
Тэнгу	天狗
Мертвяки	デッドヘッズ
дохляки	死体
камикадзе	カミカゼ
копейщик	槍兵
Ао-шин	アオシン
ворон	カラス
Холлспик	ホールスピーク
Империя	帝国
Столица	首都
Рыбный тупик	魚の袋小路
Нижний Город	下町
Императорские архивы	帝国書庫
Чайный домик	茶屋
Лавка "Тысяча мелочей"	「千の雑貨」屋
бани	銭湯
Раменная	ラーメン屋
«Тысяча мелочей»	「千の雑貨」
пристань	桟橋
Шахты Ивамото	岩本鉱山
Замок Ивамото	岩本城
Сады замка	城の庭園
Коджо-13	小城13
Отстойник	捨ててしまえ
Угольные штольни	炭坑坑道
Главный лифт	メインエレベーター
Технический лифт	貨物用エレベーター
Завод	工場
храм Инары	インナラ神殿
храм Возвышения	昇天の神殿
храм Бога Смерти	死神の神殿
зал молчания	沈黙の間
верхняя часовня	上部礼拝堂
главное святилище	主神殿
могильник	墓場
Арена	闘技場
казармы	兵舎
нижние ярусы	下層
Особняк Масты	マスタ邸
Великая война	大戦
Ци	気
мана	マナ
чакра	チャクラ
авамори	泡盛
ошейник	首輪
колба	薬瓶。
Кибиши Фукку	キビシ・フク
Нефрит	ジェイド？
нефритовые кости	翡翠のサイコロ
нефритовый угорь	翡翠のウナギ
саке	日本酒
хинин	キニーネ
рамен	ラーメン
шиитаке	シイタケ
гейша	芸者
кимоно	着物
ритуальное масло	儀式用の油
маска демона	鬼の面
колокольчик	鈴
священные колокола	聖なる鐘
ключ Главного Надзирателя	看守長の鍵
ключ от лифта	エレベーターの鍵
динамит	ダイナマイト
детонатор	起爆装置
несущие колонны	支柱
Диспенсер ЦИ	気ディスペンサー
сосуд с концентрированной энергией ЦИ	濃縮された気エネルギーが詰まった容器
фигурка	小さな像
зелье	ポーション
ритуал	儀式
печать	封印
паства	信徒たち
Неофит	新参者
Месса	ミサ
Монах	僧侶
культисты	狂信者ども
сектанты	分派者たち
стража	衛兵
шахтеры	鉱夫
пророчество	予言
предок	先祖
мир духов	霊界
барьер Ци	気の障壁
Добивание	フィニッシャー
Рывок	ダッシュ
Двойной рывок	ダブルダッシュ
Прыжок	ジャンプ
Прыжок от стены	壁キック
Удар в прыжке	空中攻撃
Пинок	重キック
Атака	攻撃
Лёгкий удар	弱攻撃
Тяжёлый удар	強攻撃
Слабый удар	弱攻撃
сильный удар	重い攻撃。
Апперкот	アッパーカット
Удар хвостом	テールカット
Бросок меча	剣投げ
Отражение снаряда	回避
Паррирование	パリー
Комбо	コンボ
Сильное комбо	強力なコンボだ：
Множитель комбо	コンボ倍率
Электроудар	エレクトリック・スラム
Воздушный разрез	エアスラッシュ
Ци-пистолет	気ピストル
Черная дыра	ブラックホール
Падающее Небо	堕天
Точный удар	精密射撃
Заклинание	スペル
Особый	スペシャル
Провокация	挑発
Взаимодействие	インタラクト
Список приемов	技一覧
Новая способность	新しい能力
Ци-броня	チー・アーマー
Сфера Ци	チー・スフィア
броня	装甲
щит	シールド
умение	アビリティ
капкан	罠
ячейка здоровья	体力セグメント
макс. здоровье	最大体力
макс. ци	最大気
Повышение	強化
предмет	アイテム
цель	目標
Уровень пройден	ステージクリア。
Ранг	ランク
Очки	スコア
Смертей	死亡回数
Время	タイム
Режим Лихорадка	フィーバーモード
СТАНДАРТ	スタンダード
КИРА	キラ
АКУМА	アクマ
Выбор сложности	難易度を選択する
контрольная точка	チェックポイント
статуя	像
змееныш	ヘビ野郎
змеюка	ヘビ野郎
змей	蛇
ящерица	トカゲ
лис	フォックスめ
лисёнок	子狐
Рыжий	赤毛
хвостатый	尾付き
хвостатая мразь	みすぼらしい尻尾のネズミめ
лисий ублюдок	狐のクソ野郎
дзинково отродье	忍狐の落とし子
нелюдь вшивый	非人のシラミ野郎
мразь	クソ野郎
урод	変態
поехавший	頭のおかしい奴
Паук	蜘蛛
Имперская шавка	帝国の犬
недобиток	生き残り
Хозяин	旦那様
Господин	閣下
братишка	兄弟
дитя	子よ
мелочь	小僧
пес	犬
зверь	獣
червяк	虫けら
Акито	アキト
Асуна	アスナ
Ичиро	イチロウ
мон	文
Трущобы	スラム街
