unit_id	context	ru_source	target
371998	hub1_first_1_1	Леон, вставай. Мы уже приехали.	雷恩，起來。我們到了。
371999	hub1_first_1_2	Хорошо… Давно мы приехали?	好…我們到了多久了？
372000	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	沒多久。你一路都在睡。
372001	hub1_first_1_4	Проспал очередные виды на ебеня?	又錯過了那些鳥不生蛋的地方？
372002	hub1_first_1_5	Даже не знаю, как я это переживу.	我不知道我該怎麼活下去。
372003	hub1_first_1_6	Добро пожаловать в Столицу.	歡迎來到首都。
372004	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	嗯，或者說，是它「最好」的部分——魚巷。
372005	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	最近才建好的，在第三任皇帝明人時期。
372006	hub1_first_1_9	Он опять завёл эту шарманку.	他又開始講那些老掉牙的故事了。
372007	hub1_first_1_10	Я чёт подустал от этих уроков истории.	我有點厭倦這些歷史課了。
372008	hub1_first_1_11	Все пауки такие?	所有蜘蛛都這樣嗎？
372009	hub1_first_1_12	Хранители знаний, да	知識的守護者，沒錯。
372010	hub1_first_1_13	Скукота.	真無聊。
372011	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	很有趣。謝謝你載我們一程。
372012	hub1_first_1_15	Без проблем.	沒問題。
372013	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	我不能錯過你們，更何況你們讓我想起了我的侄子們。
372014	hub1_first_1_17	Только… с чешуей и шерстью.	只是…一個有鱗片，一個有毛髮。
372015	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	歡迎隨時來我的「千種雜貨」！
372016	hub1_first_1_19	Хорошо, спасибо!	好的，謝謝！
372017	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	我這裡還有事。我們晚點再見。
372018	hub1_first_1_21	А как мне тебя найти?	那我怎麼找你？
372019	hub1_first_1_22	Я тебя сам найду.	我會自己找到你的。
372020	hub1_first_1_23	У меня от него чешуя дыбом стоит.	他讓我鱗片都豎起來了。
372021	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	說真的，葉月是他的同伴，但在他身邊，我卻沒有那種恐懼感。
372022	hub1_first_1_25	А я думал, вы лучшие подружки.	我還以為你們是最好的朋友呢。
372023	hub1_first_1_26	Ха-ха. Что будем дальше делать?	哈哈。我們接下來要做什麼？
372024	hub1_first_1_27	Кажется, я не ел целую вечность.	我好像很久沒吃東西了。
372025	hub1_first_1_28	Может, набьём животы?	要不要去填飽肚子？
372026	hub1_first_1_29	Можно.	可以。
372027	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	哇！這裡真是……我不知道……太美了！
372028	hub1_overlook_1_2	Тут? Это же просто трущобы.	這裡？這只不過是貧民窟罷了。
372029	hub1_overlook_1_3	Я никогда не видел такого большого города!	我從沒見過這麼大的城市！
372030	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	我想，首都本身就會讓你大吃一驚！
372031	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	這裡正好有拉麵。我們走吧！
372032	hub1_ramen_1_1	Это что за фигня?!	這是什麼鬼東西？！
372033	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	這是拉麵。你從沒吃過嗎？
372034	hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	沒有。我們村子裡沒人做這個。
372035	hub1_ramen_1_4	А потом я ел только… с пола…	然後我只吃過……地上的……
372036	hub1_ramen_1_5	Ясно.	明白了。
372037	hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	快嚐嚐。你會喜歡的。
372038	hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	他媽的。真。好。吃。
372039	hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	我總是說。吃拉麵——你就會像石頭一樣硬！
372040	hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	閉嘴，老頭！別煩他們！
372041	hub1_ramen_1_11	Да я ничего не делал!	我什麼都沒做！
372042	hub1_ramen_1_12	Вот и не делай!	那就別做！
372043	hub1_ramen_1_13	Нам нужно где-то остановиться.	我們需要找個地方落腳。
372044	hub1_ramen_1_14	Мне все равно!	我才不管！
372045	hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	我只想知道，我的妹妹被賣給了誰！
372046	hub1_ramen_1_16	И как ты это сделаешь?	你打算怎麼做？
372047	hub1_ramen_1_17	Без понятия.	不知道。
372048	hub1_ramen_1_18	Нам нужна комната на несколько дней.	我們需要一間房間住幾天。
372049	hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	太好了！我正需要房客！
372050	hub1_ramen_1_20	Ты подслушивал?	你偷聽？
372051	hub1_ramen_1_21	Так я всегда подслушиваю.	我一直都在偷聽啊。
372052	hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	你們可以睡在拉麵店後面的儲藏室。
372053	hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	不過你們要記住！所有的香菇我都數過了。
372054	hub1_ramen_1_24	… что за нахрен шиитаке…	……香菇他媽的是什麼鬼東西……
372055	hub1_ramen_1_25	Мы бы с радостью у вас остановились.	我們很樂意住在你這裡。
372056	hub1_ramen_1_26	Но у нас совсем немного денег.	但我們沒什麼錢。
372057	hub1_ramen_1_27	А мне и не нужны деньги.	我也不需要錢。
372058	hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	我會在你們身上試驗新的拉麵食譜！成交嗎？
372059	hub1_ramen_1_29	По рукам!	成交！
372060	hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	我們還需要一個城市嚮導……
372061	hub1_ramen_1_31	Мы тут совсем не ориентируемся…	我們在這裡完全迷失方向了……
372062	hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	我們的人沒有一個會踏進首都……
