action,beta_key,weblate_key,ru,translated_langs
rename,dialogue_text_intro_start_0,dialog_text_intro_start_0,"О, это была великолепная битва! Мы нагнали Золотых Гарпий, и уже предвкушали легкую наживу...",
rename,dialogue_text_intro_end_0,dialog_text_intro_end_0,"И мы разгромили их! Разогнали по углам, как крыс!",
rename,dialogue_text_intro_end_1,dialog_text_intro_end_1,Но потом... Потом произошло кое-что странное.,
rename,dialogue_character_player,dialog_character_player, ,
rename,dialogue_character_elizabethrid,dialog_character_elizabethrid,Элизабет Рид,
rename,dialogue_character_Captain_fear,dialog_character_Captain_fear,Мертвый капитан,
rename,dialogue_character_Campaign_Character_shamanessmalika,dialog_character_Campaign_Character_shamanessmalika,Шаманка Малика,
rename,dialogue_character_Campaign_Character_unknownhostage,dialog_character_Campaign_Character_unknownhostage,Незнакомый заложник,
rename,dialogue_character_Campaign_0_0_Boss0_cutthroatkidd,dialog_character_Campaign_0_0_Boss0_cutthroatkidd,Головорез Кидд,
rename,dialogue_character_Campaign_0_0_Boss1_harryrottooth,dialog_character_Campaign_0_0_Boss1_harryrottooth,Гарри Гнилозуб,
rename,dialogue_character_Campaign_0_0_Boss2_crazyjoe,dialog_character_Campaign_0_0_Boss2_crazyjoe,Чокнутый Джо,
rename,dialogue_character_Campaign_0_0_Boss3_madmorgan,dialog_character_Campaign_0_0_Boss3_madmorgan,Безумный Морган,
rename,dialogue_character_Campaign_0_0_Boss3_mad_rickert,dialog_character_Campaign_0_0_Boss3_mad_rickert,Безумный Риккерт,
rename,dialogue_character_Campaign_1_0_Boss0_steelbart,dialog_character_Campaign_1_0_Boss0_steelbart,Стальной Барт,
rename,dialogue_character_Campaign_1_0_Boss1_curvejack,dialog_character_Campaign_1_0_Boss1_curvejack,Кривой Джек,
rename,dialogue_character_Campaign_1_0_Boss2_oldbarbossa,dialog_character_Campaign_1_0_Boss2_oldbarbossa,Старый Барбосса,
rename,dialogue_character_Campaign_1_0_Boss3_captainterror,dialog_character_Campaign_1_0_Boss3_captainterror,Капитан Террор,
rename,dialogue_character_Campaign_2_0_Boss0_hungrycannibal,dialog_character_Campaign_2_0_Boss0_hungrycannibal,Голодный людоед,
rename,dialogue_character_Campaign_2_0_Boss1_admiralnelson,dialog_character_Campaign_2_0_Boss1_admiralnelson,Адмирал Нельсон,
rename,dialogue_character_Campaign_2_0_Boss2_thugsmoke,dialog_character_Campaign_2_0_Boss2_thugsmoke,Головорез Смоук,
rename,dialogue_character_Campaign_2_0_Boss3_cannibalcaptain,dialog_character_Campaign_2_0_Boss3_cannibalcaptain,Людоед-Капитан,
rename,dialogue_character_Campaign_2_1_Boss0_commanderlawrence,dialog_character_Campaign_2_1_Boss0_commanderlawrence,Командор Лоуренс,
rename,dialogue_character_Campaign_2_1_Boss1_warghunter,dialog_character_Campaign_2_1_Boss1_warghunter,Охотник Варг,
rename,dialogue_character_Campaign_2_1_Boss2_voyager,dialog_character_Campaign_2_1_Boss2_voyager,Путешественник,
rename,dialogue_character_Campaign_2_1_Boss3_ogreking,dialog_character_Campaign_2_1_Boss3_ogreking,Король Людоедов,
rename,dialogue_character_Campaign_3_0_Boss0_captainahab,dialog_character_Campaign_3_0_Boss0_captainahab,Капитан Ахав,
rename,dialogue_character_Campaign_3_0_Boss1_fisherman,dialog_character_Campaign_3_0_Boss1_fisherman,Рыбак,
rename,dialogue_character_Campaign_3_0_Boss2_willbonebreaker,dialog_character_Campaign_3_0_Boss2_willbonebreaker,Уилл Костолом,
rename,dialogue_character_Campaign_3_0_Boss3_fishermenleader,dialog_character_Campaign_3_0_Boss3_fishermenleader,Главарь рыбаков,
rename,dialogue_character_Campaign_3_1_Boss0_creepynecromancer,dialog_character_Campaign_3_1_Boss0_creepynecromancer,Жуткий некромант,
rename,dialogue_character_Campaign_3_1_Boss1_sneakshaddy,dialog_character_Campaign_3_1_Boss1_sneakshaddy,Подхалим Шэдди,
rename,dialogue_character_Campaign_3_1_Boss2_deadcaptain,dialog_character_Campaign_3_1_Boss2_deadcaptain,Мёртвый капитан,
rename,dialogue_character_Campaign_3_1_Boss3_captainmoonblood,dialog_character_Campaign_3_1_Boss3_captainmoonblood,Капитан Мунблад,
rename,dialogue_character_Campaign_4_Bayle_Hammer,dialog_character_Campaign_4_Bayle_Hammer,Байл Молот,
rename,dialogue_character_Campaign_4_Black_Asper,dialog_character_Campaign_4_Black_Asper,Черный Аспер,
rename,dialogue_character_Campaign_4_Iago,dialog_character_Campaign_4_Iago,Яго,
rename,dialogue_character_Campaign_4_Mako,dialog_character_Campaign_4_Mako,Мако,
