id,ru,en,fr,it,de,ja,ko,pt-PT,zh-CN,zh-TC,es,notes
char_leon,Леон,Leon,,,,レオン,,,,,,"Имя собственное, мужской род, одушевлённое. Главный герой игры, дзинко (полу-человек полу-лис), сбежавший раб. Речь грубая, много мата и просторечия - сохранять сниженный регистр. Транслитерировать, не переводить по смыслу. Канон: Leon / レオン. Досье из листа Terms: Леон - дзинко, главный герой игры. Еще в детстве его доставили в Империю Людей вместе с другими дзинко для священного ритуала. Однако он оказался ""лишним"" в партии, и поэтому его хотели пустить на эксперименты. Однако Маста - брат Императора - забрал дзинко, чтобы тот был забавой для его детей. Фактически он спас Леона от участи провести всю жизнь в колбе сделав его своим рабом. Долгое время Леон провел в оковах, пока не вырвался на свободу с помощью Джо. Теперь он готов найти свою сестру Аки и освободить оставшихся дзинко."
char_aki,Аки,Aki,,,,アキ,,,,,,"Имя собственное, женский род, одушевлённое. Сестра Леона, китцуне; к моменту событий мертва. Транслитерировать. В языках с родом согласовывать по женскому роду. Досье из листа Terms: Аки - китцуне, сестра Леона, которую он будет стремится найти на протяжении всей игры. Большую часть игры ее местоположение - неизвестно, но она мертва. Ее дух заключен в механическом сердце Токуры."
char_joe,Джо,Joe,,,,ジョエ,,,,,,"Имя собственное, мужской род, одушевлённое. Демонический паук-ёкай, спутник Леона; говорит вкрадчиво и книжно, в отличие от Леона - без мата. Леон зовёт его Паук / чудила. Транслитерировать. Досье из листа Terms: Демонический паук, ёкай, который и помогает Леону сбежать из поместья Масты. Большую часть истории он будет верным помощником Леона, чтобы в конце показать свою демоническую сущность. Использует Леона в своем плане как инструмент, мастерски играя на его чувствах."
char_kazuo,Кадзуо Ивамото,Kazuo Iwamoto,,,,イワモト カズオ,,,,,,"Имя собственное, мужской род. Первый босс, начальник охраны семьи Маста, владеет электричеством. Порядок: имя Кадзуо + фамилия Ивамото; та же фамилия в названиях Шахты Ивамото и Замок Ивамото - согласовать написание. Разночтение в исходнике: Kazuo Iwamoto и Kazuo Ivamoto; канон - Iwamoto. Досье из листа Terms: Человек. Сын Павваро. Первый босс игры. Благодаря вливаниям маны научился контроллировать электричество и молнию, что использует в сражениях. Был главой охраны второго человека в Империи - Масты."
char_rei,Рей,Rei,,,,レイ,,,,,,"Имя собственное, мужской род, одушевлённое. Нага, врачеватель, спутник Леона; вежливая мягкая речь без мата - контраст с Леоном. Транслитерировать. РАЗНОЧТЕНИЕ В ИСХОДНИКЕ: Рей и Рэй в русском, Rei и Ray в латинице. Переводить единообразно, канон - Rei. Досье из листа Terms: Рей - нага, помощник Леона на всем его пути. До того, как его забрали в шахты рабом (где он и встретил Леона), Рей был травником в деревне людей. Несмотря на все притеснения он продолжает верить в людей, т.к. в его жизни было много примеров, когда люди относились к нему как к равному. В шахтах продолжает помогать всем окружающим, лечить их и поддерживать. Он хотел бы обойтись без убийств, но понимает, что иногда это невозможно."
char_pavvaro,Павваро,Pavvaro,,,,パッバロ,,,,,,"Имя собственное, мужской род. Серый кардинал Империи, старый самурай, командует штурмом храма; говорит приказами, отрывисто. Транслитерировать. РАЗНОЧТЕНИЕ: Pavvaro и Pawwaro; канон - Pavvaro. Досье из листа Terms: Серый кардинал Империи. Человек, который контролирует производство оружия из маны и ее использование. Он управляет Заводом, где из дзинко добывают ману. Старый и мудрый самурай, чьи золотые годы уже давно позади, и только большие вливания маны поддерживают в нем жизнь."
char_tokura,Токура,Tokura,,,,トクラ,,,,,,"Имя собственное, женский род, одушевлённое. Дочь Павваро, учёная и воин; в её механическом сердце заключён дух Аки. Транслитерировать, согласовывать по женскому роду. Досье из листа Terms: Человек. Дочь Павваро. Ученая и профессиональный воин. Всю жизнь она изучала дзинко и ману, но чем больше она изучала их, их культуру и обычаи, ману и ее влияние на мир, тем больше она понимала, что то чем занимается ее отец - неправильно. Поэтому Токура решила освободить дзинко и сделать все, чтобы Завод прекратил свою работу."
char_masta,Маста,Masta,,,,マスタ,,,,,,"Имя собственное, мужской род. Брат Императора, хозяин поместья, где Леона держали на цепи. Употребляется как «семья Маста», «поместье Масты», к нему же обращаются «хозяин». Транслитерировать: Masta / マスタ. Не переводить как master - это имя, а не должность, хотя в тексте оно намеренно рифмуется с обращением «хозяин»."
char_seri,Сэри-Молния,Seri-Lightning,Seri-Lightning,Seri-Lightning,Seri-Lightning,セリ・ライトニング,세리-라이트닝,Seri-Lightning,塞里·莱特宁,塞莉·閃電,Seri-Lightning,"Имя собственное с прозвищем через дефис, женский род. Дух предка Леона, старшая смотрительница храма Иннары; даёт способность Электроудар. Зовёт Леона «дитя». Говорит по-стариковски, ворчливо. Первая часть транслитерируется, вторая часть - прозвище «Молния» - переводится или транслитерируется, но единообразно во всех строках. РАЗНОЧТЕНИЕ: Seri-Lightning и Seri-Blitz, 塞里·莱特宁 и 塞莉·閃電, в одной строке zh-CN имя вовсе потеряно."
char_kurogane,Курогане Ямито,Yamito Kurogane,Kurogane Yamito,Kurogane Yamito,Kurogane Yamito,ヤミト・クロガネ,쿠로가네 야미토,Kurogane Yamito,库罗加内·亚米托,庫羅加內·亞米托,Kurogane Yamito,"Имя собственное, мужской род. Главный надзиратель шахт, босс уровня; трус, всех запугивает репутацией. В русском порядок фамилия Курогане + имя Ямито; английский вариант переставлен на Yamito Kurogane, остальные языки сохранили японский порядок. Выбрать один порядок для всех языков."
