unit_id	context	ru_source	target
370414	hub1_first_1_1	Леон, вставай. Мы уже приехали.	Leon, alzati. Siamo arrivati.
370415	hub1_first_1_2	Хорошо… Давно мы приехали?	Va bene… È da tanto che siamo arrivati?
370416	hub1_first_1_3	Недавно. Ты проспал всю дорогу.	Non molto. Hai dormito per tutto il viaggio.
370417	hub1_first_1_4	Проспал очередные виды на ебеня?	Mi sono perso l'ennesimo panorama di merda?
370418	hub1_first_1_5	Даже не знаю, как я это переживу.	Non so nemmeno come farò a superarla.
370419	hub1_first_1_6	Добро пожаловать в Столицу.	Benvenuti nella Capitale.
370420	hub1_first_1_7	Ну, или в самую её «лучшую» часть — Рыбный тупик.	Beh, o nella sua parte più «bella»: il Vicolo dei Pesci.
370421	hub1_first_1_8	Построили недавно, ещё при третьем императоре Акито.	Costruito di recente, ancora sotto il terzo imperatore Akito.
370422	hub1_first_1_9	Он опять завёл эту шарманку.	Ha ricominciato con la solita tiritera.
370423	hub1_first_1_10	Я чёт подустал от этих уроков истории.	Sono un po' stanco di queste lezioni di storia.
370424	hub1_first_1_11	Все пауки такие?	Tutti i ragni sono così?
370425	hub1_first_1_12	Хранители знаний, да	Custodi della conoscenza, sì
370426	hub1_first_1_13	Скукота.	Che noia.
370427	hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Molto interessante. E grazie per averci dato un passaggio.
370428	hub1_first_1_15	Без проблем.	Nessun problema.
370429	hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	Non potevo non aiutarvi, soprattutto perché mi ricordate i miei nipoti.
370430	hub1_first_1_17	Только… с чешуей и шерстью.	Solo… con squame e pelliccia.
370431	hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	Venite a trovarmi a «Mille Cose»!
370432	hub1_first_1_19	Хорошо, спасибо!	Bene, grazie!
370433	hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	Ho i miei affari qui. Ci vediamo dopo
370434	hub1_first_1_21	А как мне тебя найти?	E come faccio a trovarti?
370435	hub1_first_1_22	Я тебя сам найду.	Ti troverò io.
370436	hub1_first_1_23	У меня от него чешуя дыбом стоит.	Mi fa rizzare le squame.
370437	hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	Seriamente, Hazuo è un suo simile, ma vicino a lui non sento questa paura.
370438	hub1_first_1_25	А я думал, вы лучшие подружки.	E io che pensavo foste migliori amiche.
370439	hub1_first_1_26	Ха-ха. Что будем дальше делать?	Ah-ah. Cosa facciamo adesso?
370440	hub1_first_1_27	Кажется, я не ел целую вечность.	Mi sembra di non mangiare da un'eternità.
370441	hub1_first_1_28	Может, набьём животы?	Forse ci riempiamo la pancia?
370442	hub1_first_1_29	Можно.	Va bene.
370443	hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	Oh! Com'è qui... non so... BELLO!
370444	hub1_overlook_1_2	Тут? Это же просто трущобы.	Qui? Ma queste sono solo baraccopoli.
370445	hub1_overlook_1_3	Я никогда не видел такого большого города!	Non ho mai visto una città così grande!
370446	hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	Credo che la Capitale stessa ti sorprenderà!
370447	hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	E qui servono proprio il ramen. Andiamo!
370448	hub1_ramen_1_1	Это что за фигня?!	Che cazzo è questo?!
370449	hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	È ramen. Non l'hai mai provato?
370450	hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	No. Nel mio villaggio non lo cucinavano.
370451	hub1_ramen_1_4	А потом я ел только… с пола…	E dopo ho mangiato solo… dal pavimento…
370452	hub1_ramen_1_5	Ясно.	Capisco.
370453	hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	Provalo subito. Ti piacerà.
370454	hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	CAZZO. CHE. BUONO.
370455	hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	Lo dico sempre. Mangia ramen e SARAI FORTE COME UNA ROCCIA!
370456	hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	ZITTO, VECCHIO! Non infastidirli!
370457	hub1_ramen_1_11	Да я ничего не делал!	Ma non ho fatto niente!
370458	hub1_ramen_1_12	Вот и не делай!	E non fare niente!
370459	hub1_ramen_1_13	Нам нужно где-то остановиться.	Dobbiamo trovare un posto dove stare.
370460	hub1_ramen_1_14	Мне все равно!	Non mi interessa!
370461	hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	Voglio solo sapere a chi hanno venduto mia sorella!
370462	hub1_ramen_1_16	И как ты это сделаешь?	E come farai?
370463	hub1_ramen_1_17	Без понятия.	Non ne ho idea.
370464	hub1_ramen_1_18	Нам нужна комната на несколько дней.	Ci serve una stanza per qualche giorno.
370465	hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	Ottimo! E a me servono degli ospiti!
370466	hub1_ramen_1_20	Ты подслушивал?	Stavi origliando?
370467	hub1_ramen_1_21	Так я всегда подслушиваю.	Io origlio sempre.
370468	hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	Potete dormire nel ripostiglio dietro la ramen-ya.
370469	hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	Ma attenzione! Tutti gli shiitake sono contati.
370470	hub1_ramen_1_24	… что за нахрен шиитаке…	...che cazzo sono gli shiitake…
370471	hub1_ramen_1_25	Мы бы с радостью у вас остановились.	Saremmo felici di fermarci da voi.
370472	hub1_ramen_1_26	Но у нас совсем немного денег.	Ma abbiamo pochi soldi.
370473	hub1_ramen_1_27	А мне и не нужны деньги.	E a me non servono soldi.
370474	hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	Proverò su di voi nuove ricette di ramen! Ci stai?
370475	hub1_ramen_1_29	По рукам!	Ci sto!
370476	hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	Ma ci servirebbe una guida per la città…
370477	hub1_ramen_1_31	Мы тут совсем не ориентируемся…	Non ci orientiamo per niente…
370478	hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	Nessuno dei nostri metterebbe il naso fuori di qui per andare nella Capitale…
370479	hub1_ramen_1_33	Хотя, загляните в чайный домик.	Comunque, fate un salto alla casa da tè.
370480	hub1_ramen_1_34	Девочки госпожи Яэко частенько в городе бывают.	Le ragazze della signora Yaeko sono spesso in città.
370481	hub1_ramen_1_35	Как их найти?	Come le troviamo?
370482	hub1_ramen_1_36	Вот тут у нас главное место Рыбного тупика - моя раменная!	Qui abbiamo il posto principale del Vicolo dei Pesci: la mia ramen-ya!
370483	hub1_ramen_1_37	Но это вы и так знаете.	Ma questo lo sapete già.
370484	hub1_ramen_1_38	Пойдете вот сюда - окажетесь на пристани.	Andando di qua, arriverete al molo.
370485	hub1_ramen_1_39	Вот на этот корабль лучше не соваться.	È meglio non salire su questa nave.
370486	hub1_ramen_1_40	Если конечно не хотите встретиться с морскими волками.	A meno che non vogliate incontrare i lupi di mare, ovviamente.
370487	hub1_ramen_1_41	Свернете сюда и окажетесь в банях, шикарное место для отдыха.	Girate qui e vi ritroverete ai bagni, un posto fantastico per rilassarsi.
370488	hub1_ramen_1_42	Тут будет лавка травника,	Qui ci sarà la bottega dell'erborista,
370489	hub1_ramen_1_43	а тут барахолка.	e qui un mercatino delle pulci.
370490	hub1_ramen_1_44	А прямо над нами находится чайный домик.	E proprio sopra di noi c'è la casa da tè.
370491	hub1_ramen_1_45	Если запутаетесь, изучите нашу карту.	Se vi perdete, consultate la nostra mappa.
370492	hub1_ramen_1_46	Ясно, погнали.	Chiaro, andiamo.
370493	hub1_fisherman_quest_1_1	Вот что еще вспомнил…	Ah, un'altra cosa che mi è venuta in mente…
370494	hub1_fisherman_quest_1_2	Может сделаете для меня кое-чего, молодежь?	Potreste farmi un favore, giovanotti?
370495	hub1_fisherman_quest_1_3	А то мне самому лень.	Sono troppo pigro per farlo da solo.
370496	hub1_fisherman_quest_1_4	Вам по пути!	È sulla vostra strada!
